MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
34,23,6,5,,45,75
34,17,8,9,,14,59
34,15,13,6,,24,58
34,15,11,8,,10,56
34,16,6,12,,9,54
34,16,4,14,,1,52
34,12,13,9,,6,49
34,13,7,14,,-3,46
34,12,9,13,,-1,45
34,12,9,13,,-8,45
34,12,7,15,,-10,43
34,11,9,14,,-2,42
34,11,8,15,,-6,41
34,10,10,14,,-2,40
34,11,7,16,,-9,40
34,8,12,14,,-11,36
34,8,6,20,,-27,30
34,7,9,18,,-30,30
