MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
34,21,6,7,,39,69
34,20,7,7,,29,67
34,19,7,8,,20,64
34,19,6,9,,7,63
34,19,4,11,,2,61
34,15,14,5,,23,59
34,15,10,9,,14,55
34,14,8,12,,12,50
34,14,7,13,,13,49
34,12,9,13,,14,45
34,10,10,14,,-20,40
34,11,6,17,,-15,39
34,8,9,17,,-21,33
34,7,11,16,,-16,32
34,8,7,19,,-23,31
34,8,6,20,,-27,30
34,8,5,21,,-24,29
34,4,16,14,,-27,28
