MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
34,22,8,4,,41,74
34,20,8,6,,31,68
34,19,8,7,,34,65
34,18,10,6,,28,64
34,15,11,8,,18,56
34,16,7,11,,11,55
34,13,11,10,,7,50
34,14,7,13,,-13,49
34,12,8,14,,1,44
34,13,3,18,,-5,42
34,10,9,15,,-9,39
34,9,12,13,,-17,39
34,10,8,16,,-25,38
34,9,10,15,,-14,37
34,11,6,17,,-23,36
34,9,5,20,,-17,32
34,8,8,18,,-23,32
34,6,5,23,,-25,23
