MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
34,17,9,8,,22,43
34,17,7,10,,13,41
34,15,9,10,,29,39
34,15,9,10,,17,39
34,13,12,9,,1,38
34,16,5,13,,15,37
34,14,9,11,,0,37
34,12,10,12,,21,34
34,13,8,13,,-6,34
34,12,10,12,,-7,34
34,10,13,11,,-2,33
34,10,13,11,,-6,33
34,11,9,14,,-8,31
34,10,10,14,,-16,30
34,12,6,16,,-26,30
34,10,9,15,,-7,29
34,9,7,18,,-22,25
34,6,13,15,,-18,25
