MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
34,28,4,2,,63,88
34,24,6,4,,48,78
34,18,6,10,,16,60
34,17,4,13,,17,55
34,15,7,12,,2,52
34,14,8,12,,4,50
34,14,8,12,,0,50
34,12,9,13,,-2,45
34,10,13,11,,-4,43
34,11,8,15,,-6,41
34,10,10,14,,-9,40
34,9,11,14,,-10,38
34,10,8,16,,-15,38
34,9,11,14,,-15,38
34,9,10,15,,-15,37
34,9,9,16,,-18,36
34,9,6,19,,-25,33
34,7,4,23,,-31,25
