MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
34,17,10,7,,31,44
34,18,7,9,,28,43
34,14,11,9,,13,39
34,15,9,10,,4,39
34,15,8,11,,16,38
34,14,10,10,,3,38
34,13,11,10,,8,37
34,13,10,11,,7,36
34,14,8,12,,-11,36
34,14,7,13,,6,35
34,14,6,14,,-2,34
34,13,8,13,,-4,34
34,10,14,10,,-11,30
34,10,9,15,,-12,29
34,10,8,16,,-3,28
34,10,8,16,,-14,28
34,6,11,17,,-22,23
34,3,11,20,,-37,17
