MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
34,21,7,6,,24,70
34,21,5,8,,21,68
34,20,6,8,,36,66
34,18,6,10,,15,60
34,15,6,13,,5,51
34,11,15,8,,11,48
34,10,15,9,,6,45
34,13,6,15,,-1,45
34,12,8,14,,-2,44
34,12,8,14,,-5,44
34,12,8,14,,-9,44
34,11,9,14,,-2,42
34,11,8,15,,-11,41
34,9,13,12,,-12,40
34,8,13,13,,-8,37
34,8,10,16,,-23,34
34,9,7,18,,-24,34
34,6,8,20,,-21,26
