MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
34,19,11,4,,36,49
34,17,9,8,,10,43
34,15,11,8,,21,41
34,15,11,8,,16,41
34,12,15,7,,8,39
34,15,6,13,,6,36
34,10,14,10,,8,34
34,11,11,12,,-4,33
34,10,12,12,,0,32
34,10,12,12,,-7,32
34,13,5,16,,-7,31
34,10,11,13,,-13,31
34,9,13,12,,-15,31
34,10,10,14,,-7,30
34,11,8,15,,-8,30
34,11,7,16,,-9,29
34,10,6,18,,-17,26
34,8,8,18,,-18,24
