MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
34,20,9,5,,34,49
34,20,8,6,,31,48
34,20,6,8,,22,46
34,17,12,5,,17,46
34,17,9,8,,25,43
34,15,13,6,,14,43
34,13,10,11,,11,36
34,11,14,9,,4,36
34,12,9,13,,-8,33
34,11,10,13,,0,32
34,10,11,13,,-6,31
34,10,10,14,,-14,30
34,10,9,15,,-7,29
34,8,11,15,,-16,27
34,7,11,16,,-15,25
34,9,4,21,,-24,22
34,6,8,20,,-33,20
34,4,8,22,,-35,16
