MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
34,17,10,7,,24,44
34,17,9,8,,25,43
34,15,13,6,,18,43
34,17,8,9,,29,42
34,17,6,11,,22,40
34,14,10,10,,11,38
34,14,9,11,,9,37
34,12,10,12,,9,34
34,11,12,11,,9,34
34,13,8,13,,1,34
34,13,7,14,,-8,33
34,11,9,14,,-2,31
34,12,5,17,,-6,29
34,9,11,14,,-12,29
34,11,7,16,,-15,29
34,9,10,15,,-22,28
34,6,10,18,,-38,22
34,7,8,19,,-54,22
