MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
34,21,7,6,,29,70
34,21,6,7,,39,69
34,20,8,6,,40,68
34,18,7,9,,23,61
34,18,7,9,,16,61
34,17,5,12,,11,56
34,17,5,12,,9,56
34,13,11,10,,4,50
34,15,5,14,,0,50
34,13,7,14,,8,46
34,10,10,14,,-6,40
34,9,12,13,,-12,39
34,9,8,17,,-24,35
34,9,7,18,,-19,34
34,10,4,20,,-23,34
34,7,9,18,,-27,30
34,7,8,19,,-35,29
34,4,10,20,,-33,22
