MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
34,22,7,5,,45,73
34,21,10,3,,38,73
34,16,11,7,,24,59
34,14,11,9,,7,53
34,15,5,14,,-5,50
34,13,11,10,,-7,50
34,12,13,9,,-7,49
34,14,6,14,,-3,48
34,13,8,13,,13,47
34,12,8,14,,-2,44
34,9,13,12,,3,40
34,10,10,14,,-5,40
34,8,15,11,,-2,39
34,12,5,17,,-2,39
34,8,14,12,,-16,38
34,9,8,17,,-26,35
34,7,9,18,,-21,30
34,4,10,20,,-34,22
