MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
31,25,6,0,,55,81
31,22,3,6,,51,69
31,20,4,7,,32,64
31,19,5,7,,38,62
31,16,9,6,,20,57
31,11,12,8,,5,45
31,11,7,13,,-12,40
31,10,9,12,,-4,39
31,11,6,14,,-8,39
31,9,10,12,,-8,37
31,10,7,14,,-9,37
31,9,7,15,,-14,34
31,7,11,13,,-7,32
31,8,6,17,,-24,30
31,6,12,13,,-25,30
31,5,13,13,,-17,28
31,4,11,16,,-30,23
31,3,8,20,,-43,17
