MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
34,24,6,4,,56,78
34,23,7,4,,37,76
34,19,9,6,,34,66
34,18,4,12,,17,58
34,16,7,11,,13,55
34,16,7,11,,12,55
34,15,9,10,,12,54
34,14,11,9,,9,53
34,13,12,9,,18,51
34,13,5,16,,-16,44
34,11,10,13,,-8,43
34,12,7,15,,-11,43
34,8,12,14,,-15,36
34,8,9,17,,-18,33
34,8,8,18,,-20,32
34,7,7,20,,-38,28
34,5,6,23,,-40,21
34,3,10,21,,-42,19
