Position,Club,Played Pl,Won W,Drawn D,Lost L,GF,GA,GD,Points Pts,Form,More,Unnamed: 12
1 Previous Position 1,Manchester United MUN,38,28,7,3,97,45,52,91,W Saturday 22 April 2000 SOU 1-3 MUN W Monday 24 April 2000 MUN 3-2 CHE W Saturday 29 April 2000 WAT 2-3 MUN W Saturday 6 May 2000 MUN 3-1 TOT W Sunday 14 May 2000 AVL 0-1 MUN,,
Manchester United label.latestresult: Sunday 14 May 2000 AVL 0-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 14 May 2000 AVL 0-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 14 May 2000 AVL 0-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 14 May 2000 AVL 0-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 14 May 2000 AVL 0-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 14 May 2000 AVL 0-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 14 May 2000 AVL 0-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 14 May 2000 AVL 0-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 14 May 2000 AVL 0-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 14 May 2000 AVL 0-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 14 May 2000 AVL 0-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 14 May 2000 AVL 0-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 14 May 2000 AVL 0-1 MUN Visit Club Page
2 Previous Position 2,Arsenal ARS,38,22,7,9,73,43,30,73,W Saturday 29 April 2000 EVE 0-1 ARS W Tuesday 2 May 2000 ARS 2-1 WHU W Saturday 6 May 2000 ARS 2-1 CHE D Tuesday 9 May 2000 ARS 3-3 SHW L Sunday 14 May 2000 NEW 4-2 ARS,,
Arsenal label.latestresult: Sunday 14 May 2000 NEW 4-2 ARS Visit Club Page,Arsenal label.latestresult: Sunday 14 May 2000 NEW 4-2 ARS Visit Club Page,Arsenal label.latestresult: Sunday 14 May 2000 NEW 4-2 ARS Visit Club Page,Arsenal label.latestresult: Sunday 14 May 2000 NEW 4-2 ARS Visit Club Page,Arsenal label.latestresult: Sunday 14 May 2000 NEW 4-2 ARS Visit Club Page,Arsenal label.latestresult: Sunday 14 May 2000 NEW 4-2 ARS Visit Club Page,Arsenal label.latestresult: Sunday 14 May 2000 NEW 4-2 ARS Visit Club Page,Arsenal label.latestresult: Sunday 14 May 2000 NEW 4-2 ARS Visit Club Page,Arsenal label.latestresult: Sunday 14 May 2000 NEW 4-2 ARS Visit Club Page,Arsenal label.latestresult: Sunday 14 May 2000 NEW 4-2 ARS Visit Club Page,Arsenal label.latestresult: Sunday 14 May 2000 NEW 4-2 ARS Visit Club Page,Arsenal label.latestresult: Sunday 14 May 2000 NEW 4-2 ARS Visit Club Page,Arsenal label.latestresult: Sunday 14 May 2000 NEW 4-2 ARS Visit Club Page
3 Previous Position 3,Leeds United LEE,38,21,6,11,58,43,15,69,D Sunday 23 April 2000 NEW 2-2 LEE W Sunday 30 April 2000 SHW 0-3 LEE W Wednesday 3 May 2000 LEE 3-1 WAT D Monday 8 May 2000 LEE 1-1 EVE D Sunday 14 May 2000 WHU 0-0 LEE,,
Leeds United label.latestresult: Sunday 14 May 2000 WHU 0-0 LEE Visit Club Page,Leeds United label.latestresult: Sunday 14 May 2000 WHU 0-0 LEE Visit Club Page,Leeds United label.latestresult: Sunday 14 May 2000 WHU 0-0 LEE Visit Club Page,Leeds United label.latestresult: Sunday 14 May 2000 WHU 0-0 LEE Visit Club Page,Leeds United label.latestresult: Sunday 14 May 2000 WHU 0-0 LEE Visit Club Page,Leeds United label.latestresult: Sunday 14 May 2000 WHU 0-0 LEE Visit Club Page,Leeds United label.latestresult: Sunday 14 May 2000 WHU 0-0 LEE Visit Club Page,Leeds United label.latestresult: Sunday 14 May 2000 WHU 0-0 LEE Visit Club Page,Leeds United label.latestresult: Sunday 14 May 2000 WHU 0-0 LEE Visit Club Page,Leeds United label.latestresult: Sunday 14 May 2000 WHU 0-0 LEE Visit Club Page,Leeds United label.latestresult: Sunday 14 May 2000 WHU 0-0 LEE Visit Club Page,Leeds United label.latestresult: Sunday 14 May 2000 WHU 0-0 LEE Visit Club Page,Leeds United label.latestresult: Sunday 14 May 2000 WHU 0-0 LEE Visit Club Page
4 Previous Position 4,Liverpool LIV,38,19,10,9,51,30,21,67,D Friday 21 April 2000 EVE 0-0 LIV L Saturday 29 April 2000 CHE 2-0 LIV L Wednesday 3 May 2000 LIV 0-2 LEI D Sunday 7 May 2000 LIV 0-0 SOU L Sunday 14 May 2000 BRA 1-0 LIV,,
Liverpool label.latestresult: Sunday 14 May 2000 BRA 1-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 14 May 2000 BRA 1-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 14 May 2000 BRA 1-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 14 May 2000 BRA 1-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 14 May 2000 BRA 1-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 14 May 2000 BRA 1-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 14 May 2000 BRA 1-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 14 May 2000 BRA 1-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 14 May 2000 BRA 1-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 14 May 2000 BRA 1-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 14 May 2000 BRA 1-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 14 May 2000 BRA 1-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 14 May 2000 BRA 1-0 LIV Visit Club Page
5 Previous Position 5,Chelsea CHE,38,18,11,9,53,34,19,65,D Saturday 22 April 2000 CHE 1-1 MID L Monday 24 April 2000 MUN 3-2 CHE W Saturday 29 April 2000 CHE 2-0 LIV L Saturday 6 May 2000 ARS 2-1 CHE W Sunday 14 May 2000 CHE 4-0 DER,,
Chelsea label.latestresult: Sunday 14 May 2000 CHE 4-0 DER Visit Club Page,Chelsea label.latestresult: Sunday 14 May 2000 CHE 4-0 DER Visit Club Page,Chelsea label.latestresult: Sunday 14 May 2000 CHE 4-0 DER Visit Club Page,Chelsea label.latestresult: Sunday 14 May 2000 CHE 4-0 DER Visit Club Page,Chelsea label.latestresult: Sunday 14 May 2000 CHE 4-0 DER Visit Club Page,Chelsea label.latestresult: Sunday 14 May 2000 CHE 4-0 DER Visit Club Page,Chelsea label.latestresult: Sunday 14 May 2000 CHE 4-0 DER Visit Club Page,Chelsea label.latestresult: Sunday 14 May 2000 CHE 4-0 DER Visit Club Page,Chelsea label.latestresult: Sunday 14 May 2000 CHE 4-0 DER Visit Club Page,Chelsea label.latestresult: Sunday 14 May 2000 CHE 4-0 DER Visit Club Page,Chelsea label.latestresult: Sunday 14 May 2000 CHE 4-0 DER Visit Club Page,Chelsea label.latestresult: Sunday 14 May 2000 CHE 4-0 DER Visit Club Page,Chelsea label.latestresult: Sunday 14 May 2000 CHE 4-0 DER Visit Club Page
