Position,Club,Played Pl,Won W,Drawn D,Lost L,GF,GA,GD,Points Pts,Form,More,Unnamed: 12
1 Previous Position 1,Manchester City MCI,38,32,2,4,95,23,72,98,W Saturday 20 April 2019 MCI 1-0 TOT W Wednesday 24 April 2019 MUN 0-2 MCI W Sunday 28 April 2019 BUR 0-1 MCI W Monday 6 May 2019 MCI 1-0 LEI W Sunday 12 May 2019 BHA 1-4 MCI,,
Manchester City label.latestresult: Sunday 12 May 2019 BHA 1-4 MCI Visit Club Page,Manchester City label.latestresult: Sunday 12 May 2019 BHA 1-4 MCI Visit Club Page,Manchester City label.latestresult: Sunday 12 May 2019 BHA 1-4 MCI Visit Club Page,Manchester City label.latestresult: Sunday 12 May 2019 BHA 1-4 MCI Visit Club Page,Manchester City label.latestresult: Sunday 12 May 2019 BHA 1-4 MCI Visit Club Page,Manchester City label.latestresult: Sunday 12 May 2019 BHA 1-4 MCI Visit Club Page,Manchester City label.latestresult: Sunday 12 May 2019 BHA 1-4 MCI Visit Club Page,Manchester City label.latestresult: Sunday 12 May 2019 BHA 1-4 MCI Visit Club Page,Manchester City label.latestresult: Sunday 12 May 2019 BHA 1-4 MCI Visit Club Page,Manchester City label.latestresult: Sunday 12 May 2019 BHA 1-4 MCI Visit Club Page,Manchester City label.latestresult: Sunday 12 May 2019 BHA 1-4 MCI Visit Club Page,Manchester City label.latestresult: Sunday 12 May 2019 BHA 1-4 MCI Visit Club Page,Manchester City label.latestresult: Sunday 12 May 2019 BHA 1-4 MCI Visit Club Page
2 Previous Position 2,Liverpool LIV,38,30,7,1,89,22,67,97,W Sunday 14 April 2019 LIV 2-0 CHE W Sunday 21 April 2019 CAR 0-2 LIV W Friday 26 April 2019 LIV 5-0 HUD W Saturday 4 May 2019 NEW 2-3 LIV W Sunday 12 May 2019 LIV 2-0 WOL,,
Liverpool label.latestresult: Sunday 12 May 2019 LIV 2-0 WOL Visit Club Page,Liverpool label.latestresult: Sunday 12 May 2019 LIV 2-0 WOL Visit Club Page,Liverpool label.latestresult: Sunday 12 May 2019 LIV 2-0 WOL Visit Club Page,Liverpool label.latestresult: Sunday 12 May 2019 LIV 2-0 WOL Visit Club Page,Liverpool label.latestresult: Sunday 12 May 2019 LIV 2-0 WOL Visit Club Page,Liverpool label.latestresult: Sunday 12 May 2019 LIV 2-0 WOL Visit Club Page,Liverpool label.latestresult: Sunday 12 May 2019 LIV 2-0 WOL Visit Club Page,Liverpool label.latestresult: Sunday 12 May 2019 LIV 2-0 WOL Visit Club Page,Liverpool label.latestresult: Sunday 12 May 2019 LIV 2-0 WOL Visit Club Page,Liverpool label.latestresult: Sunday 12 May 2019 LIV 2-0 WOL Visit Club Page,Liverpool label.latestresult: Sunday 12 May 2019 LIV 2-0 WOL Visit Club Page,Liverpool label.latestresult: Sunday 12 May 2019 LIV 2-0 WOL Visit Club Page,Liverpool label.latestresult: Sunday 12 May 2019 LIV 2-0 WOL Visit Club Page
3 Previous Position 3,Chelsea CHE,38,21,9,8,63,39,24,72,L Sunday 14 April 2019 LIV 2-0 CHE D Monday 22 April 2019 CHE 2-2 BUR D Sunday 28 April 2019 MUN 1-1 CHE W Sunday 5 May 2019 CHE 3-0 WAT D Sunday 12 May 2019 LEI 0-0 CHE,,
Chelsea label.latestresult: Sunday 12 May 2019 LEI 0-0 CHE Visit Club Page,Chelsea label.latestresult: Sunday 12 May 2019 LEI 0-0 CHE Visit Club Page,Chelsea label.latestresult: Sunday 12 May 2019 LEI 0-0 CHE Visit Club Page,Chelsea label.latestresult: Sunday 12 May 2019 LEI 0-0 CHE Visit Club Page,Chelsea label.latestresult: Sunday 12 May 2019 LEI 0-0 CHE Visit Club Page,Chelsea label.latestresult: Sunday 12 May 2019 LEI 0-0 CHE Visit Club Page,Chelsea label.latestresult: Sunday 12 May 2019 LEI 0-0 CHE Visit Club Page,Chelsea label.latestresult: Sunday 12 May 2019 LEI 0-0 CHE Visit Club Page,Chelsea label.latestresult: Sunday 12 May 2019 LEI 0-0 CHE Visit Club Page,Chelsea label.latestresult: Sunday 12 May 2019 LEI 0-0 CHE Visit Club Page,Chelsea label.latestresult: Sunday 12 May 2019 LEI 0-0 CHE Visit Club Page,Chelsea label.latestresult: Sunday 12 May 2019 LEI 0-0 CHE Visit Club Page,Chelsea label.latestresult: Sunday 12 May 2019 LEI 0-0 CHE Visit Club Page
4 Previous Position 4,Tottenham Hotspur TOT,38,23,2,13,67,39,28,71,L Saturday 20 April 2019 MCI 1-0 TOT W Tuesday 23 April 2019 TOT 1-0 BHA L Saturday 27 April 2019 TOT 0-1 WHU L Saturday 4 May 2019 BOU 1-0 TOT D Sunday 12 May 2019 TOT 2-2 EVE,,
Tottenham Hotspur label.latestresult: Sunday 12 May 2019 TOT 2-2 EVE Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 12 May 2019 TOT 2-2 EVE Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 12 May 2019 TOT 2-2 EVE Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 12 May 2019 TOT 2-2 EVE Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 12 May 2019 TOT 2-2 EVE Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 12 May 2019 TOT 2-2 EVE Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 12 May 2019 TOT 2-2 EVE Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 12 May 2019 TOT 2-2 EVE Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 12 May 2019 TOT 2-2 EVE Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 12 May 2019 TOT 2-2 EVE Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 12 May 2019 TOT 2-2 EVE Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 12 May 2019 TOT 2-2 EVE Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 12 May 2019 TOT 2-2 EVE Visit Club Page
5 Previous Position 5,Arsenal ARS,38,21,7,10,73,51,22,70,L Sunday 21 April 2019 ARS 2-3 CRY L Wednesday 24 April 2019 WOL 3-1 ARS L Sunday 28 April 2019 LEI 3-0 ARS D Sunday 5 May 2019 ARS 1-1 BHA W Sunday 12 May 2019 BUR 1-3 ARS,,
Arsenal label.latestresult: Sunday 12 May 2019 BUR 1-3 ARS Visit Club Page,Arsenal label.latestresult: Sunday 12 May 2019 BUR 1-3 ARS Visit Club Page,Arsenal label.latestresult: Sunday 12 May 2019 BUR 1-3 ARS Visit Club Page,Arsenal label.latestresult: Sunday 12 May 2019 BUR 1-3 ARS Visit Club Page,Arsenal label.latestresult: Sunday 12 May 2019 BUR 1-3 ARS Visit Club Page,Arsenal label.latestresult: Sunday 12 May 2019 BUR 1-3 ARS Visit Club Page,Arsenal label.latestresult: Sunday 12 May 2019 BUR 1-3 ARS Visit Club Page,Arsenal label.latestresult: Sunday 12 May 2019 BUR 1-3 ARS Visit Club Page,Arsenal label.latestresult: Sunday 12 May 2019 BUR 1-3 ARS Visit Club Page,Arsenal label.latestresult: Sunday 12 May 2019 BUR 1-3 ARS Visit Club Page,Arsenal label.latestresult: Sunday 12 May 2019 BUR 1-3 ARS Visit Club Page,Arsenal label.latestresult: Sunday 12 May 2019 BUR 1-3 ARS Visit Club Page,Arsenal label.latestresult: Sunday 12 May 2019 BUR 1-3 ARS Visit Club Page
