Position,Club,Played Pl,Won W,Drawn D,Lost L,GF,GA,GD,Points Pts,Form,More,Unnamed: 12
1 Previous Position 1,Chelsea CHE,38,30,3,5,85,33,52,93,W Sunday 30 April 2017 EVE 0-3 CHE W Monday 8 May 2017 CHE 3-0 MID W Friday 12 May 2017 WBA 0-1 CHE W Monday 15 May 2017 CHE 4-3 WAT W Sunday 21 May 2017 CHE 5-1 SUN,,
Chelsea label.latestresult: Sunday 21 May 2017 CHE 5-1 SUN Visit Club Page,Chelsea label.latestresult: Sunday 21 May 2017 CHE 5-1 SUN Visit Club Page,Chelsea label.latestresult: Sunday 21 May 2017 CHE 5-1 SUN Visit Club Page,Chelsea label.latestresult: Sunday 21 May 2017 CHE 5-1 SUN Visit Club Page,Chelsea label.latestresult: Sunday 21 May 2017 CHE 5-1 SUN Visit Club Page,Chelsea label.latestresult: Sunday 21 May 2017 CHE 5-1 SUN Visit Club Page,Chelsea label.latestresult: Sunday 21 May 2017 CHE 5-1 SUN Visit Club Page,Chelsea label.latestresult: Sunday 21 May 2017 CHE 5-1 SUN Visit Club Page,Chelsea label.latestresult: Sunday 21 May 2017 CHE 5-1 SUN Visit Club Page,Chelsea label.latestresult: Sunday 21 May 2017 CHE 5-1 SUN Visit Club Page,Chelsea label.latestresult: Sunday 21 May 2017 CHE 5-1 SUN Visit Club Page,Chelsea label.latestresult: Sunday 21 May 2017 CHE 5-1 SUN Visit Club Page,Chelsea label.latestresult: Sunday 21 May 2017 CHE 5-1 SUN Visit Club Page
2 Previous Position 2,Tottenham Hotspur TOT,38,26,8,4,86,26,60,86,W Sunday 30 April 2017 TOT 2-0 ARS L Friday 5 May 2017 WHU 1-0 TOT W Sunday 14 May 2017 TOT 2-1 MUN W Thursday 18 May 2017 LEI 1-6 TOT W Sunday 21 May 2017 HUL 1-7 TOT,,
Tottenham Hotspur label.latestresult: Sunday 21 May 2017 HUL 1-7 TOT Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 21 May 2017 HUL 1-7 TOT Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 21 May 2017 HUL 1-7 TOT Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 21 May 2017 HUL 1-7 TOT Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 21 May 2017 HUL 1-7 TOT Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 21 May 2017 HUL 1-7 TOT Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 21 May 2017 HUL 1-7 TOT Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 21 May 2017 HUL 1-7 TOT Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 21 May 2017 HUL 1-7 TOT Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 21 May 2017 HUL 1-7 TOT Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 21 May 2017 HUL 1-7 TOT Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 21 May 2017 HUL 1-7 TOT Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 21 May 2017 HUL 1-7 TOT Visit Club Page
3 Previous Position 3,Manchester City MCI,38,23,9,6,80,39,41,78,D Sunday 30 April 2017 MID 2-2 MCI W Saturday 6 May 2017 MCI 5-0 CRY W Saturday 13 May 2017 MCI 2-1 LEI W Tuesday 16 May 2017 MCI 3-1 WBA W Sunday 21 May 2017 WAT 0-5 MCI,,
Manchester City label.latestresult: Sunday 21 May 2017 WAT 0-5 MCI Visit Club Page,Manchester City label.latestresult: Sunday 21 May 2017 WAT 0-5 MCI Visit Club Page,Manchester City label.latestresult: Sunday 21 May 2017 WAT 0-5 MCI Visit Club Page,Manchester City label.latestresult: Sunday 21 May 2017 WAT 0-5 MCI Visit Club Page,Manchester City label.latestresult: Sunday 21 May 2017 WAT 0-5 MCI Visit Club Page,Manchester City label.latestresult: Sunday 21 May 2017 WAT 0-5 MCI Visit Club Page,Manchester City label.latestresult: Sunday 21 May 2017 WAT 0-5 MCI Visit Club Page,Manchester City label.latestresult: Sunday 21 May 2017 WAT 0-5 MCI Visit Club Page,Manchester City label.latestresult: Sunday 21 May 2017 WAT 0-5 MCI Visit Club Page,Manchester City label.latestresult: Sunday 21 May 2017 WAT 0-5 MCI Visit Club Page,Manchester City label.latestresult: Sunday 21 May 2017 WAT 0-5 MCI Visit Club Page,Manchester City label.latestresult: Sunday 21 May 2017 WAT 0-5 MCI Visit Club Page,Manchester City label.latestresult: Sunday 21 May 2017 WAT 0-5 MCI Visit Club Page
4 Previous Position 4,Liverpool LIV,38,22,10,6,78,42,36,76,L Sunday 23 April 2017 LIV 1-2 CRY W Monday 1 May 2017 WAT 0-1 LIV D Sunday 7 May 2017 LIV 0-0 SOU W Sunday 14 May 2017 WHU 0-4 LIV W Sunday 21 May 2017 LIV 3-0 MID,,
Liverpool label.latestresult: Sunday 21 May 2017 LIV 3-0 MID Visit Club Page,Liverpool label.latestresult: Sunday 21 May 2017 LIV 3-0 MID Visit Club Page,Liverpool label.latestresult: Sunday 21 May 2017 LIV 3-0 MID Visit Club Page,Liverpool label.latestresult: Sunday 21 May 2017 LIV 3-0 MID Visit Club Page,Liverpool label.latestresult: Sunday 21 May 2017 LIV 3-0 MID Visit Club Page,Liverpool label.latestresult: Sunday 21 May 2017 LIV 3-0 MID Visit Club Page,Liverpool label.latestresult: Sunday 21 May 2017 LIV 3-0 MID Visit Club Page,Liverpool label.latestresult: Sunday 21 May 2017 LIV 3-0 MID Visit Club Page,Liverpool label.latestresult: Sunday 21 May 2017 LIV 3-0 MID Visit Club Page,Liverpool label.latestresult: Sunday 21 May 2017 LIV 3-0 MID Visit Club Page,Liverpool label.latestresult: Sunday 21 May 2017 LIV 3-0 MID Visit Club Page,Liverpool label.latestresult: Sunday 21 May 2017 LIV 3-0 MID Visit Club Page,Liverpool label.latestresult: Sunday 21 May 2017 LIV 3-0 MID Visit Club Page
5 Previous Position 5,Arsenal ARS,38,23,6,9,77,44,33,75,W Sunday 7 May 2017 ARS 2-0 MUN W Wednesday 10 May 2017 SOU 0-2 ARS W Saturday 13 May 2017 STK 1-4 ARS W Tuesday 16 May 2017 ARS 2-0 SUN W Sunday 21 May 2017 ARS 3-1 EVE,,
Arsenal label.latestresult: Sunday 21 May 2017 ARS 3-1 EVE Visit Club Page,Arsenal label.latestresult: Sunday 21 May 2017 ARS 3-1 EVE Visit Club Page,Arsenal label.latestresult: Sunday 21 May 2017 ARS 3-1 EVE Visit Club Page,Arsenal label.latestresult: Sunday 21 May 2017 ARS 3-1 EVE Visit Club Page,Arsenal label.latestresult: Sunday 21 May 2017 ARS 3-1 EVE Visit Club Page,Arsenal label.latestresult: Sunday 21 May 2017 ARS 3-1 EVE Visit Club Page,Arsenal label.latestresult: Sunday 21 May 2017 ARS 3-1 EVE Visit Club Page,Arsenal label.latestresult: Sunday 21 May 2017 ARS 3-1 EVE Visit Club Page,Arsenal label.latestresult: Sunday 21 May 2017 ARS 3-1 EVE Visit Club Page,Arsenal label.latestresult: Sunday 21 May 2017 ARS 3-1 EVE Visit Club Page,Arsenal label.latestresult: Sunday 21 May 2017 ARS 3-1 EVE Visit Club Page,Arsenal label.latestresult: Sunday 21 May 2017 ARS 3-1 EVE Visit Club Page,Arsenal label.latestresult: Sunday 21 May 2017 ARS 3-1 EVE Visit Club Page
