Position,Club,Played Pl,Won W,Drawn D,Lost L,GF,GA,GD,Points Pts,Form,More,Unnamed: 12
1 Previous Position 1,Leicester City LEI,38,23,12,3,68,36,32,81,D Sunday 17 April 2016 LEI 2-2 WHU W Sunday 24 April 2016 LEI 4-0 SWA D Sunday 1 May 2016 MUN 1-1 LEI W Saturday 7 May 2016 LEI 3-1 EVE D Sunday 15 May 2016 CHE 1-1 LEI,,
Leicester City label.latestresult: Sunday 15 May 2016 CHE 1-1 LEI Visit Club Page,Leicester City label.latestresult: Sunday 15 May 2016 CHE 1-1 LEI Visit Club Page,Leicester City label.latestresult: Sunday 15 May 2016 CHE 1-1 LEI Visit Club Page,Leicester City label.latestresult: Sunday 15 May 2016 CHE 1-1 LEI Visit Club Page,Leicester City label.latestresult: Sunday 15 May 2016 CHE 1-1 LEI Visit Club Page,Leicester City label.latestresult: Sunday 15 May 2016 CHE 1-1 LEI Visit Club Page,Leicester City label.latestresult: Sunday 15 May 2016 CHE 1-1 LEI Visit Club Page,Leicester City label.latestresult: Sunday 15 May 2016 CHE 1-1 LEI Visit Club Page,Leicester City label.latestresult: Sunday 15 May 2016 CHE 1-1 LEI Visit Club Page,Leicester City label.latestresult: Sunday 15 May 2016 CHE 1-1 LEI Visit Club Page,Leicester City label.latestresult: Sunday 15 May 2016 CHE 1-1 LEI Visit Club Page,Leicester City label.latestresult: Sunday 15 May 2016 CHE 1-1 LEI Visit Club Page,Leicester City label.latestresult: Sunday 15 May 2016 CHE 1-1 LEI Visit Club Page
2 Previous Position 3,Arsenal ARS,38,20,11,7,65,36,29,71,W Thursday 21 April 2016 ARS 2-0 WBA D Sunday 24 April 2016 SUN 0-0 ARS W Saturday 30 April 2016 ARS 1-0 NOR D Sunday 8 May 2016 MCI 2-2 ARS W Sunday 15 May 2016 ARS 4-0 AVL,,
Arsenal label.latestresult: Sunday 15 May 2016 ARS 4-0 AVL Visit Club Page,Arsenal label.latestresult: Sunday 15 May 2016 ARS 4-0 AVL Visit Club Page,Arsenal label.latestresult: Sunday 15 May 2016 ARS 4-0 AVL Visit Club Page,Arsenal label.latestresult: Sunday 15 May 2016 ARS 4-0 AVL Visit Club Page,Arsenal label.latestresult: Sunday 15 May 2016 ARS 4-0 AVL Visit Club Page,Arsenal label.latestresult: Sunday 15 May 2016 ARS 4-0 AVL Visit Club Page,Arsenal label.latestresult: Sunday 15 May 2016 ARS 4-0 AVL Visit Club Page,Arsenal label.latestresult: Sunday 15 May 2016 ARS 4-0 AVL Visit Club Page,Arsenal label.latestresult: Sunday 15 May 2016 ARS 4-0 AVL Visit Club Page,Arsenal label.latestresult: Sunday 15 May 2016 ARS 4-0 AVL Visit Club Page,Arsenal label.latestresult: Sunday 15 May 2016 ARS 4-0 AVL Visit Club Page,Arsenal label.latestresult: Sunday 15 May 2016 ARS 4-0 AVL Visit Club Page,Arsenal label.latestresult: Sunday 15 May 2016 ARS 4-0 AVL Visit Club Page
3 Previous Position 2,Tottenham Hotspur TOT,38,19,13,6,69,35,34,70,W Monday 18 April 2016 STK 0-4 TOT D Monday 25 April 2016 TOT 1-1 WBA D Monday 2 May 2016 CHE 2-2 TOT L Sunday 8 May 2016 TOT 1-2 SOU L Sunday 15 May 2016 NEW 5-1 TOT,,
Tottenham Hotspur label.latestresult: Sunday 15 May 2016 NEW 5-1 TOT Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 15 May 2016 NEW 5-1 TOT Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 15 May 2016 NEW 5-1 TOT Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 15 May 2016 NEW 5-1 TOT Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 15 May 2016 NEW 5-1 TOT Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 15 May 2016 NEW 5-1 TOT Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 15 May 2016 NEW 5-1 TOT Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 15 May 2016 NEW 5-1 TOT Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 15 May 2016 NEW 5-1 TOT Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 15 May 2016 NEW 5-1 TOT Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 15 May 2016 NEW 5-1 TOT Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 15 May 2016 NEW 5-1 TOT Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 15 May 2016 NEW 5-1 TOT Visit Club Page
4 Previous Position 4,Manchester City MCI,38,19,9,10,71,41,30,66,D Tuesday 19 April 2016 NEW 1-1 MCI W Saturday 23 April 2016 MCI 4-0 STK L Sunday 1 May 2016 SOU 4-2 MCI D Sunday 8 May 2016 MCI 2-2 ARS D Sunday 15 May 2016 SWA 1-1 MCI,,
Manchester City label.latestresult: Sunday 15 May 2016 SWA 1-1 MCI Visit Club Page,Manchester City label.latestresult: Sunday 15 May 2016 SWA 1-1 MCI Visit Club Page,Manchester City label.latestresult: Sunday 15 May 2016 SWA 1-1 MCI Visit Club Page,Manchester City label.latestresult: Sunday 15 May 2016 SWA 1-1 MCI Visit Club Page,Manchester City label.latestresult: Sunday 15 May 2016 SWA 1-1 MCI Visit Club Page,Manchester City label.latestresult: Sunday 15 May 2016 SWA 1-1 MCI Visit Club Page,Manchester City label.latestresult: Sunday 15 May 2016 SWA 1-1 MCI Visit Club Page,Manchester City label.latestresult: Sunday 15 May 2016 SWA 1-1 MCI Visit Club Page,Manchester City label.latestresult: Sunday 15 May 2016 SWA 1-1 MCI Visit Club Page,Manchester City label.latestresult: Sunday 15 May 2016 SWA 1-1 MCI Visit Club Page,Manchester City label.latestresult: Sunday 15 May 2016 SWA 1-1 MCI Visit Club Page,Manchester City label.latestresult: Sunday 15 May 2016 SWA 1-1 MCI Visit Club Page,Manchester City label.latestresult: Sunday 15 May 2016 SWA 1-1 MCI Visit Club Page
5 Previous Position 5,Manchester United MUN,38,19,9,10,49,35,14,66,W Wednesday 20 April 2016 MUN 2-0 CRY D Sunday 1 May 2016 MUN 1-1 LEI W Saturday 7 May 2016 NOR 0-1 MUN L Tuesday 10 May 2016 WHU 3-2 MUN W Tuesday 17 May 2016 MUN 3-1 BOU,,
Manchester United label.latestresult: Tuesday 17 May 2016 MUN 3-1 BOU Visit Club Page,Manchester United label.latestresult: Tuesday 17 May 2016 MUN 3-1 BOU Visit Club Page,Manchester United label.latestresult: Tuesday 17 May 2016 MUN 3-1 BOU Visit Club Page,Manchester United label.latestresult: Tuesday 17 May 2016 MUN 3-1 BOU Visit Club Page,Manchester United label.latestresult: Tuesday 17 May 2016 MUN 3-1 BOU Visit Club Page,Manchester United label.latestresult: Tuesday 17 May 2016 MUN 3-1 BOU Visit Club Page,Manchester United label.latestresult: Tuesday 17 May 2016 MUN 3-1 BOU Visit Club Page,Manchester United label.latestresult: Tuesday 17 May 2016 MUN 3-1 BOU Visit Club Page,Manchester United label.latestresult: Tuesday 17 May 2016 MUN 3-1 BOU Visit Club Page,Manchester United label.latestresult: Tuesday 17 May 2016 MUN 3-1 BOU Visit Club Page,Manchester United label.latestresult: Tuesday 17 May 2016 MUN 3-1 BOU Visit Club Page,Manchester United label.latestresult: Tuesday 17 May 2016 MUN 3-1 BOU Visit Club Page,Manchester United label.latestresult: Tuesday 17 May 2016 MUN 3-1 BOU Visit Club Page
