Position,Club,Played Pl,Won W,Drawn D,Lost L,GF,GA,GD,Points Pts,Form,More,Unnamed: 12
6 Previous Position 6,Tottenham Hotspur TOT,38,21,6,11,55,51,4,69,D Saturday 12 April 2014 WBA 3-3 TOT W Saturday 19 April 2014 TOT 3-1 FUL W Saturday 26 April 2014 STK 0-1 TOT L Saturday 3 May 2014 WHU 2-0 TOT W Sunday 11 May 2014 TOT 3-0 AVL,,
Tottenham Hotspur label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page
7 Previous Position 7,Manchester United MUN,38,19,7,12,64,43,21,64,L Sunday 20 April 2014 EVE 2-0 MUN W Saturday 26 April 2014 MUN 4-0 NOR L Saturday 3 May 2014 MUN 0-1 SUN W Tuesday 6 May 2014 MUN 3-1 HUL D Sunday 11 May 2014 SOU 1-1 MUN,,
Manchester United label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page
8 Previous Position 8,Southampton SOU,38,15,11,12,54,46,8,56,L Saturday 12 April 2014 SOU 0-1 CAR D Saturday 19 April 2014 AVL 0-0 SOU W Saturday 26 April 2014 SOU 2-0 EVE W Saturday 3 May 2014 SWA 0-1 SOU D Sunday 11 May 2014 SOU 1-1 MUN,,
Southampton label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Southampton label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Southampton label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Southampton label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Southampton label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Southampton label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Southampton label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Southampton label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Southampton label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Southampton label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Southampton label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Southampton label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Southampton label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page
9 Previous Position 10,Stoke City STK,38,13,11,14,45,52,-7,50,W Saturday 12 April 2014 STK 1-0 NEW D Saturday 19 April 2014 CAR 1-1 STK L Saturday 26 April 2014 STK 0-1 TOT W Saturday 3 May 2014 STK 4-1 FUL W Sunday 11 May 2014 WBA 1-2 STK,,
Stoke City label.latestresult: Sunday 11 May 2014 WBA 1-2 STK Visit Club Page,Stoke City label.latestresult: Sunday 11 May 2014 WBA 1-2 STK Visit Club Page,Stoke City label.latestresult: Sunday 11 May 2014 WBA 1-2 STK Visit Club Page,Stoke City label.latestresult: Sunday 11 May 2014 WBA 1-2 STK Visit Club Page,Stoke City label.latestresult: Sunday 11 May 2014 WBA 1-2 STK Visit Club Page,Stoke City label.latestresult: Sunday 11 May 2014 WBA 1-2 STK Visit Club Page,Stoke City label.latestresult: Sunday 11 May 2014 WBA 1-2 STK Visit Club Page,Stoke City label.latestresult: Sunday 11 May 2014 WBA 1-2 STK Visit Club Page,Stoke City label.latestresult: Sunday 11 May 2014 WBA 1-2 STK Visit Club Page,Stoke City label.latestresult: Sunday 11 May 2014 WBA 1-2 STK Visit Club Page,Stoke City label.latestresult: Sunday 11 May 2014 WBA 1-2 STK Visit Club Page,Stoke City label.latestresult: Sunday 11 May 2014 WBA 1-2 STK Visit Club Page,Stoke City label.latestresult: Sunday 11 May 2014 WBA 1-2 STK Visit Club Page
10 Previous Position 9,Newcastle United NEW,38,15,4,19,43,59,-16,49,L Saturday 12 April 2014 STK 1-0 NEW L Saturday 19 April 2014 NEW 1-2 SWA L Monday 28 April 2014 ARS 3-0 NEW W Saturday 3 May 2014 NEW 3-0 CAR L Sunday 11 May 2014 LIV 2-1 NEW,,
Newcastle United label.latestresult: Sunday 11 May 2014 LIV 2-1 NEW Visit Club Page,Newcastle United label.latestresult: Sunday 11 May 2014 LIV 2-1 NEW Visit Club Page,Newcastle United label.latestresult: Sunday 11 May 2014 LIV 2-1 NEW Visit Club Page,Newcastle United label.latestresult: Sunday 11 May 2014 LIV 2-1 NEW Visit Club Page,Newcastle United label.latestresult: Sunday 11 May 2014 LIV 2-1 NEW Visit Club Page,Newcastle United label.latestresult: Sunday 11 May 2014 LIV 2-1 NEW Visit Club Page,Newcastle United label.latestresult: Sunday 11 May 2014 LIV 2-1 NEW Visit Club Page,Newcastle United label.latestresult: Sunday 11 May 2014 LIV 2-1 NEW Visit Club Page,Newcastle United label.latestresult: Sunday 11 May 2014 LIV 2-1 NEW Visit Club Page,Newcastle United label.latestresult: Sunday 11 May 2014 LIV 2-1 NEW Visit Club Page,Newcastle United label.latestresult: Sunday 11 May 2014 LIV 2-1 NEW Visit Club Page,Newcastle United label.latestresult: Sunday 11 May 2014 LIV 2-1 NEW Visit Club Page,Newcastle United label.latestresult: Sunday 11 May 2014 LIV 2-1 NEW Visit Club Page
11 Previous Position 11,Crystal Palace CRY,38,13,6,19,33,48,-15,45,W Wednesday 16 April 2014 EVE 2-3 CRY W Saturday 19 April 2014 WHU 0-1 CRY L Sunday 27 April 2014 CRY 0-2 MCI D Monday 5 May 2014 CRY 3-3 LIV D Sunday 11 May 2014 FUL 2-2 CRY,,
Crystal Palace label.latestresult: Sunday 11 May 2014 FUL 2-2 CRY Visit Club Page,Crystal Palace label.latestresult: Sunday 11 May 2014 FUL 2-2 CRY Visit Club Page,Crystal Palace label.latestresult: Sunday 11 May 2014 FUL 2-2 CRY Visit Club Page,Crystal Palace label.latestresult: Sunday 11 May 2014 FUL 2-2 CRY Visit Club Page,Crystal Palace label.latestresult: Sunday 11 May 2014 FUL 2-2 CRY Visit Club Page,Crystal Palace label.latestresult: Sunday 11 May 2014 FUL 2-2 CRY Visit Club Page,Crystal Palace label.latestresult: Sunday 11 May 2014 FUL 2-2 CRY Visit Club Page,Crystal Palace label.latestresult: Sunday 11 May 2014 FUL 2-2 CRY Visit Club Page,Crystal Palace label.latestresult: Sunday 11 May 2014 FUL 2-2 CRY Visit Club Page,Crystal Palace label.latestresult: Sunday 11 May 2014 FUL 2-2 CRY Visit Club Page,Crystal Palace label.latestresult: Sunday 11 May 2014 FUL 2-2 CRY Visit Club Page,Crystal Palace label.latestresult: Sunday 11 May 2014 FUL 2-2 CRY Visit Club Page,Crystal Palace label.latestresult: Sunday 11 May 2014 FUL 2-2 CRY Visit Club Page
12 Previous Position 13,Swansea City SWA,38,11,9,18,54,54,0,42,L Sunday 13 April 2014 SWA 0-1 CHE W Saturday 19 April 2014 NEW 1-2 SWA W Saturday 26 April 2014 SWA 4-1 AVL L Saturday 3 May 2014 SWA 0-1 SOU W Sunday 11 May 2014 SUN 1-3 SWA,,
Swansea City label.latestresult: Sunday 11 May 2014 SUN 1-3 SWA Visit Club Page,Swansea City label.latestresult: Sunday 11 May 2014 SUN 1-3 SWA Visit Club Page,Swansea City label.latestresult: Sunday 11 May 2014 SUN 1-3 SWA Visit Club Page,Swansea City label.latestresult: Sunday 11 May 2014 SUN 1-3 SWA Visit Club Page,Swansea City label.latestresult: Sunday 11 May 2014 SUN 1-3 SWA Visit Club Page,Swansea City label.latestresult: Sunday 11 May 2014 SUN 1-3 SWA Visit Club Page,Swansea City label.latestresult: Sunday 11 May 2014 SUN 1-3 SWA Visit Club Page,Swansea City label.latestresult: Sunday 11 May 2014 SUN 1-3 SWA Visit Club Page,Swansea City label.latestresult: Sunday 11 May 2014 SUN 1-3 SWA Visit Club Page,Swansea City label.latestresult: Sunday 11 May 2014 SUN 1-3 SWA Visit Club Page,Swansea City label.latestresult: Sunday 11 May 2014 SUN 1-3 SWA Visit Club Page,Swansea City label.latestresult: Sunday 11 May 2014 SUN 1-3 SWA Visit Club Page,Swansea City label.latestresult: Sunday 11 May 2014 SUN 1-3 SWA Visit Club Page
13 Previous Position 12,West Ham United WHU,38,11,7,20,40,51,-11,40,L Tuesday 15 April 2014 ARS 3-1 WHU L Saturday 19 April 2014 WHU 0-1 CRY L Saturday 26 April 2014 WBA 1-0 WHU W Saturday 3 May 2014 WHU 2-0 TOT L Sunday 11 May 2014 MCI 2-0 WHU,,
West Ham United label.latestresult: Sunday 11 May 2014 MCI 2-0 WHU Visit Club Page,West Ham United label.latestresult: Sunday 11 May 2014 MCI 2-0 WHU Visit Club Page,West Ham United label.latestresult: Sunday 11 May 2014 MCI 2-0 WHU Visit Club Page,West Ham United label.latestresult: Sunday 11 May 2014 MCI 2-0 WHU Visit Club Page,West Ham United label.latestresult: Sunday 11 May 2014 MCI 2-0 WHU Visit Club Page,West Ham United label.latestresult: Sunday 11 May 2014 MCI 2-0 WHU Visit Club Page,West Ham United label.latestresult: Sunday 11 May 2014 MCI 2-0 WHU Visit Club Page,West Ham United label.latestresult: Sunday 11 May 2014 MCI 2-0 WHU Visit Club Page,West Ham United label.latestresult: Sunday 11 May 2014 MCI 2-0 WHU Visit Club Page,West Ham United label.latestresult: Sunday 11 May 2014 MCI 2-0 WHU Visit Club Page,West Ham United label.latestresult: Sunday 11 May 2014 MCI 2-0 WHU Visit Club Page,West Ham United label.latestresult: Sunday 11 May 2014 MCI 2-0 WHU Visit Club Page,West Ham United label.latestresult: Sunday 11 May 2014 MCI 2-0 WHU Visit Club Page
14 Previous Position 14,Sunderland SUN,38,10,8,20,41,60,-19,38,W Saturday 19 April 2014 CHE 1-2 SUN W Sunday 27 April 2014 SUN 4-0 CAR W Saturday 3 May 2014 MUN 0-1 SUN W Wednesday 7 May 2014 SUN 2-0 WBA L Sunday 11 May 2014 SUN 1-3 SWA,,
Sunderland label.latestresult: Sunday 11 May 2014 SUN 1-3 SWA Visit Club Page,Sunderland label.latestresult: Sunday 11 May 2014 SUN 1-3 SWA Visit Club Page,Sunderland label.latestresult: Sunday 11 May 2014 SUN 1-3 SWA Visit Club Page,Sunderland label.latestresult: Sunday 11 May 2014 SUN 1-3 SWA Visit Club Page,Sunderland label.latestresult: Sunday 11 May 2014 SUN 1-3 SWA Visit Club Page,Sunderland label.latestresult: Sunday 11 May 2014 SUN 1-3 SWA Visit Club Page,Sunderland label.latestresult: Sunday 11 May 2014 SUN 1-3 SWA Visit Club Page,Sunderland label.latestresult: Sunday 11 May 2014 SUN 1-3 SWA Visit Club Page,Sunderland label.latestresult: Sunday 11 May 2014 SUN 1-3 SWA Visit Club Page,Sunderland label.latestresult: Sunday 11 May 2014 SUN 1-3 SWA Visit Club Page,Sunderland label.latestresult: Sunday 11 May 2014 SUN 1-3 SWA Visit Club Page,Sunderland label.latestresult: Sunday 11 May 2014 SUN 1-3 SWA Visit Club Page,Sunderland label.latestresult: Sunday 11 May 2014 SUN 1-3 SWA Visit Club Page
15 Previous Position 15,Aston Villa AVL,38,10,8,20,39,61,-22,38,D Saturday 19 April 2014 AVL 0-0 SOU L Saturday 26 April 2014 SWA 4-1 AVL W Saturday 3 May 2014 AVL 3-1 HUL L Wednesday 7 May 2014 MCI 4-0 AVL L Sunday 11 May 2014 TOT 3-0 AVL,,
Aston Villa label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Aston Villa label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Aston Villa label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Aston Villa label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Aston Villa label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Aston Villa label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Aston Villa label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Aston Villa label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Aston Villa label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Aston Villa label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Aston Villa label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Aston Villa label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Aston Villa label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page
