Position,Club,Played Pl,Won W,Drawn D,Lost L,GF,GA,GD,Points Pts,Form,More,Unnamed: 12
1 Previous Position 1,Manchester United MUN,42,27,11,4,80,38,42,92,W Saturday 23 April 1994 MUN 2-0 MCI W Wednesday 27 April 1994 LEE 0-2 MUN W Sunday 1 May 1994 IPS 1-2 MUN W Wednesday 4 May 1994 MUN 2-0 SOU D Sunday 8 May 1994 MUN 0-0 COV,,
Manchester United label.latestresult: Sunday 8 May 1994 MUN 0-0 COV Visit Club Page,Manchester United label.latestresult: Sunday 8 May 1994 MUN 0-0 COV Visit Club Page,Manchester United label.latestresult: Sunday 8 May 1994 MUN 0-0 COV Visit Club Page,Manchester United label.latestresult: Sunday 8 May 1994 MUN 0-0 COV Visit Club Page,Manchester United label.latestresult: Sunday 8 May 1994 MUN 0-0 COV Visit Club Page,Manchester United label.latestresult: Sunday 8 May 1994 MUN 0-0 COV Visit Club Page,Manchester United label.latestresult: Sunday 8 May 1994 MUN 0-0 COV Visit Club Page,Manchester United label.latestresult: Sunday 8 May 1994 MUN 0-0 COV Visit Club Page,Manchester United label.latestresult: Sunday 8 May 1994 MUN 0-0 COV Visit Club Page,Manchester United label.latestresult: Sunday 8 May 1994 MUN 0-0 COV Visit Club Page,Manchester United label.latestresult: Sunday 8 May 1994 MUN 0-0 COV Visit Club Page,Manchester United label.latestresult: Sunday 8 May 1994 MUN 0-0 COV Visit Club Page,Manchester United label.latestresult: Sunday 8 May 1994 MUN 0-0 COV Visit Club Page
2 Previous Position 2,Blackburn Rovers BLB,42,25,9,8,63,36,27,84,L Saturday 16 April 1994 SOU 3-1 BLB D Sunday 24 April 1994 BLB 1-1 QPR W Wednesday 27 April 1994 WHU 1-2 BLB L Monday 2 May 1994 COV 2-1 BLB D Saturday 7 May 1994 BLB 0-0 IPS,,
Blackburn Rovers label.latestresult: Saturday 7 May 1994 BLB 0-0 IPS Visit Club Page,Blackburn Rovers label.latestresult: Saturday 7 May 1994 BLB 0-0 IPS Visit Club Page,Blackburn Rovers label.latestresult: Saturday 7 May 1994 BLB 0-0 IPS Visit Club Page,Blackburn Rovers label.latestresult: Saturday 7 May 1994 BLB 0-0 IPS Visit Club Page,Blackburn Rovers label.latestresult: Saturday 7 May 1994 BLB 0-0 IPS Visit Club Page,Blackburn Rovers label.latestresult: Saturday 7 May 1994 BLB 0-0 IPS Visit Club Page,Blackburn Rovers label.latestresult: Saturday 7 May 1994 BLB 0-0 IPS Visit Club Page,Blackburn Rovers label.latestresult: Saturday 7 May 1994 BLB 0-0 IPS Visit Club Page,Blackburn Rovers label.latestresult: Saturday 7 May 1994 BLB 0-0 IPS Visit Club Page,Blackburn Rovers label.latestresult: Saturday 7 May 1994 BLB 0-0 IPS Visit Club Page,Blackburn Rovers label.latestresult: Saturday 7 May 1994 BLB 0-0 IPS Visit Club Page,Blackburn Rovers label.latestresult: Saturday 7 May 1994 BLB 0-0 IPS Visit Club Page,Blackburn Rovers label.latestresult: Saturday 7 May 1994 BLB 0-0 IPS Visit Club Page
3 Previous Position 3,Newcastle United NEW,42,23,8,11,82,41,41,77,W Saturday 16 April 1994 LIV 0-2 NEW W Saturday 23 April 1994 NEW 3-2 OLD W Wednesday 27 April 1994 NEW 5-1 AVL L Saturday 30 April 1994 SHU 2-0 NEW W Saturday 7 May 1994 NEW 2-0 ARS,,
Newcastle United label.latestresult: Saturday 7 May 1994 NEW 2-0 ARS Visit Club Page,Newcastle United label.latestresult: Saturday 7 May 1994 NEW 2-0 ARS Visit Club Page,Newcastle United label.latestresult: Saturday 7 May 1994 NEW 2-0 ARS Visit Club Page,Newcastle United label.latestresult: Saturday 7 May 1994 NEW 2-0 ARS Visit Club Page,Newcastle United label.latestresult: Saturday 7 May 1994 NEW 2-0 ARS Visit Club Page,Newcastle United label.latestresult: Saturday 7 May 1994 NEW 2-0 ARS Visit Club Page,Newcastle United label.latestresult: Saturday 7 May 1994 NEW 2-0 ARS Visit Club Page,Newcastle United label.latestresult: Saturday 7 May 1994 NEW 2-0 ARS Visit Club Page,Newcastle United label.latestresult: Saturday 7 May 1994 NEW 2-0 ARS Visit Club Page,Newcastle United label.latestresult: Saturday 7 May 1994 NEW 2-0 ARS Visit Club Page,Newcastle United label.latestresult: Saturday 7 May 1994 NEW 2-0 ARS Visit Club Page,Newcastle United label.latestresult: Saturday 7 May 1994 NEW 2-0 ARS Visit Club Page,Newcastle United label.latestresult: Saturday 7 May 1994 NEW 2-0 ARS Visit Club Page
4 Previous Position 4,Arsenal ARS,42,18,17,7,53,28,25,71,D Tuesday 19 April 1994 ARS 1-1 WIM W Saturday 23 April 1994 AVL 1-2 ARS D Wednesday 27 April 1994 QPR 1-1 ARS L Saturday 30 April 1994 ARS 0-2 WHU L Saturday 7 May 1994 NEW 2-0 ARS,,
Arsenal label.latestresult: Saturday 7 May 1994 NEW 2-0 ARS Visit Club Page,Arsenal label.latestresult: Saturday 7 May 1994 NEW 2-0 ARS Visit Club Page,Arsenal label.latestresult: Saturday 7 May 1994 NEW 2-0 ARS Visit Club Page,Arsenal label.latestresult: Saturday 7 May 1994 NEW 2-0 ARS Visit Club Page,Arsenal label.latestresult: Saturday 7 May 1994 NEW 2-0 ARS Visit Club Page,Arsenal label.latestresult: Saturday 7 May 1994 NEW 2-0 ARS Visit Club Page,Arsenal label.latestresult: Saturday 7 May 1994 NEW 2-0 ARS Visit Club Page,Arsenal label.latestresult: Saturday 7 May 1994 NEW 2-0 ARS Visit Club Page,Arsenal label.latestresult: Saturday 7 May 1994 NEW 2-0 ARS Visit Club Page,Arsenal label.latestresult: Saturday 7 May 1994 NEW 2-0 ARS Visit Club Page,Arsenal label.latestresult: Saturday 7 May 1994 NEW 2-0 ARS Visit Club Page,Arsenal label.latestresult: Saturday 7 May 1994 NEW 2-0 ARS Visit Club Page,Arsenal label.latestresult: Saturday 7 May 1994 NEW 2-0 ARS Visit Club Page
5 Previous Position 5,Leeds United LEE,42,18,16,8,65,39,26,70,D Saturday 23 April 1994 CHE 1-1 LEE L Wednesday 27 April 1994 LEE 0-2 MUN W Saturday 30 April 1994 LEE 3-0 EVE D Tuesday 3 May 1994 LEE 2-2 SHW W Saturday 7 May 1994 SWI 0-5 LEE,,
Leeds United label.latestresult: Saturday 7 May 1994 SWI 0-5 LEE Visit Club Page,Leeds United label.latestresult: Saturday 7 May 1994 SWI 0-5 LEE Visit Club Page,Leeds United label.latestresult: Saturday 7 May 1994 SWI 0-5 LEE Visit Club Page,Leeds United label.latestresult: Saturday 7 May 1994 SWI 0-5 LEE Visit Club Page,Leeds United label.latestresult: Saturday 7 May 1994 SWI 0-5 LEE Visit Club Page,Leeds United label.latestresult: Saturday 7 May 1994 SWI 0-5 LEE Visit Club Page,Leeds United label.latestresult: Saturday 7 May 1994 SWI 0-5 LEE Visit Club Page,Leeds United label.latestresult: Saturday 7 May 1994 SWI 0-5 LEE Visit Club Page,Leeds United label.latestresult: Saturday 7 May 1994 SWI 0-5 LEE Visit Club Page,Leeds United label.latestresult: Saturday 7 May 1994 SWI 0-5 LEE Visit Club Page,Leeds United label.latestresult: Saturday 7 May 1994 SWI 0-5 LEE Visit Club Page,Leeds United label.latestresult: Saturday 7 May 1994 SWI 0-5 LEE Visit Club Page,Leeds United label.latestresult: Saturday 7 May 1994 SWI 0-5 LEE Visit Club Page
