Position,Club,Played Pl,Won W,Drawn D,Lost L,GF,GA,GD,Points Pts,Form,More,Unnamed: 12
1 Previous Position 1,Manchester United MUN,38,28,5,5,86,43,43,89,W Monday 22 April 2013 MUN 3-0 AVL D Sunday 28 April 2013 ARS 1-1 MUN L Sunday 5 May 2013 MUN 0-1 CHE W Sunday 12 May 2013 MUN 2-1 SWA D Sunday 19 May 2013 WBA 5-5 MUN,,
Manchester United label.latestresult: Sunday 19 May 2013 WBA 5-5 MUN Visit Club Page,Manchester United label.latestresult: Sunday 19 May 2013 WBA 5-5 MUN Visit Club Page,Manchester United label.latestresult: Sunday 19 May 2013 WBA 5-5 MUN Visit Club Page,Manchester United label.latestresult: Sunday 19 May 2013 WBA 5-5 MUN Visit Club Page,Manchester United label.latestresult: Sunday 19 May 2013 WBA 5-5 MUN Visit Club Page,Manchester United label.latestresult: Sunday 19 May 2013 WBA 5-5 MUN Visit Club Page,Manchester United label.latestresult: Sunday 19 May 2013 WBA 5-5 MUN Visit Club Page,Manchester United label.latestresult: Sunday 19 May 2013 WBA 5-5 MUN Visit Club Page,Manchester United label.latestresult: Sunday 19 May 2013 WBA 5-5 MUN Visit Club Page,Manchester United label.latestresult: Sunday 19 May 2013 WBA 5-5 MUN Visit Club Page,Manchester United label.latestresult: Sunday 19 May 2013 WBA 5-5 MUN Visit Club Page,Manchester United label.latestresult: Sunday 19 May 2013 WBA 5-5 MUN Visit Club Page,Manchester United label.latestresult: Sunday 19 May 2013 WBA 5-5 MUN Visit Club Page
2 Previous Position 2,Manchester City MCI,38,23,9,6,66,34,32,78,W Saturday 27 April 2013 MCI 2-1 WHU D Saturday 4 May 2013 SWA 0-0 MCI W Tuesday 7 May 2013 MCI 1-0 WBA W Tuesday 14 May 2013 RDG 0-2 MCI L Sunday 19 May 2013 MCI 2-3 NOR,,
Manchester City label.latestresult: Sunday 19 May 2013 MCI 2-3 NOR Visit Club Page,Manchester City label.latestresult: Sunday 19 May 2013 MCI 2-3 NOR Visit Club Page,Manchester City label.latestresult: Sunday 19 May 2013 MCI 2-3 NOR Visit Club Page,Manchester City label.latestresult: Sunday 19 May 2013 MCI 2-3 NOR Visit Club Page,Manchester City label.latestresult: Sunday 19 May 2013 MCI 2-3 NOR Visit Club Page,Manchester City label.latestresult: Sunday 19 May 2013 MCI 2-3 NOR Visit Club Page,Manchester City label.latestresult: Sunday 19 May 2013 MCI 2-3 NOR Visit Club Page,Manchester City label.latestresult: Sunday 19 May 2013 MCI 2-3 NOR Visit Club Page,Manchester City label.latestresult: Sunday 19 May 2013 MCI 2-3 NOR Visit Club Page,Manchester City label.latestresult: Sunday 19 May 2013 MCI 2-3 NOR Visit Club Page,Manchester City label.latestresult: Sunday 19 May 2013 MCI 2-3 NOR Visit Club Page,Manchester City label.latestresult: Sunday 19 May 2013 MCI 2-3 NOR Visit Club Page,Manchester City label.latestresult: Sunday 19 May 2013 MCI 2-3 NOR Visit Club Page
3 Previous Position 3,Chelsea CHE,38,22,9,7,75,39,36,75,W Sunday 28 April 2013 CHE 2-0 SWA W Sunday 5 May 2013 MUN 0-1 CHE D Wednesday 8 May 2013 CHE 2-2 TOT W Saturday 11 May 2013 AVL 1-2 CHE W Sunday 19 May 2013 CHE 2-1 EVE,,
Chelsea label.latestresult: Sunday 19 May 2013 CHE 2-1 EVE Visit Club Page,Chelsea label.latestresult: Sunday 19 May 2013 CHE 2-1 EVE Visit Club Page,Chelsea label.latestresult: Sunday 19 May 2013 CHE 2-1 EVE Visit Club Page,Chelsea label.latestresult: Sunday 19 May 2013 CHE 2-1 EVE Visit Club Page,Chelsea label.latestresult: Sunday 19 May 2013 CHE 2-1 EVE Visit Club Page,Chelsea label.latestresult: Sunday 19 May 2013 CHE 2-1 EVE Visit Club Page,Chelsea label.latestresult: Sunday 19 May 2013 CHE 2-1 EVE Visit Club Page,Chelsea label.latestresult: Sunday 19 May 2013 CHE 2-1 EVE Visit Club Page,Chelsea label.latestresult: Sunday 19 May 2013 CHE 2-1 EVE Visit Club Page,Chelsea label.latestresult: Sunday 19 May 2013 CHE 2-1 EVE Visit Club Page,Chelsea label.latestresult: Sunday 19 May 2013 CHE 2-1 EVE Visit Club Page,Chelsea label.latestresult: Sunday 19 May 2013 CHE 2-1 EVE Visit Club Page,Chelsea label.latestresult: Sunday 19 May 2013 CHE 2-1 EVE Visit Club Page
4 Previous Position 4,Arsenal ARS,38,21,10,7,72,37,35,73,W Saturday 20 April 2013 FUL 0-1 ARS D Sunday 28 April 2013 ARS 1-1 MUN W Saturday 4 May 2013 QPR 0-1 ARS W Tuesday 14 May 2013 ARS 4-1 WIG W Sunday 19 May 2013 NEW 0-1 ARS,,
Arsenal label.latestresult: Sunday 19 May 2013 NEW 0-1 ARS Visit Club Page,Arsenal label.latestresult: Sunday 19 May 2013 NEW 0-1 ARS Visit Club Page,Arsenal label.latestresult: Sunday 19 May 2013 NEW 0-1 ARS Visit Club Page,Arsenal label.latestresult: Sunday 19 May 2013 NEW 0-1 ARS Visit Club Page,Arsenal label.latestresult: Sunday 19 May 2013 NEW 0-1 ARS Visit Club Page,Arsenal label.latestresult: Sunday 19 May 2013 NEW 0-1 ARS Visit Club Page,Arsenal label.latestresult: Sunday 19 May 2013 NEW 0-1 ARS Visit Club Page,Arsenal label.latestresult: Sunday 19 May 2013 NEW 0-1 ARS Visit Club Page,Arsenal label.latestresult: Sunday 19 May 2013 NEW 0-1 ARS Visit Club Page,Arsenal label.latestresult: Sunday 19 May 2013 NEW 0-1 ARS Visit Club Page,Arsenal label.latestresult: Sunday 19 May 2013 NEW 0-1 ARS Visit Club Page,Arsenal label.latestresult: Sunday 19 May 2013 NEW 0-1 ARS Visit Club Page,Arsenal label.latestresult: Sunday 19 May 2013 NEW 0-1 ARS Visit Club Page
5 Previous Position 5,Tottenham Hotspur TOT,38,21,9,8,66,46,20,72,D Saturday 27 April 2013 WIG 2-2 TOT W Saturday 4 May 2013 TOT 1-0 SOU D Wednesday 8 May 2013 CHE 2-2 TOT W Sunday 12 May 2013 STK 1-2 TOT W Sunday 19 May 2013 TOT 1-0 SUN,,
Tottenham Hotspur label.latestresult: Sunday 19 May 2013 TOT 1-0 SUN Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 19 May 2013 TOT 1-0 SUN Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 19 May 2013 TOT 1-0 SUN Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 19 May 2013 TOT 1-0 SUN Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 19 May 2013 TOT 1-0 SUN Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 19 May 2013 TOT 1-0 SUN Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 19 May 2013 TOT 1-0 SUN Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 19 May 2013 TOT 1-0 SUN Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 19 May 2013 TOT 1-0 SUN Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 19 May 2013 TOT 1-0 SUN Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 19 May 2013 TOT 1-0 SUN Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 19 May 2013 TOT 1-0 SUN Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 19 May 2013 TOT 1-0 SUN Visit Club Page
