Position,Club,Played Pl,Won W,Drawn D,Lost L,GF,GA,GD,Points Pts,Form,More,Unnamed: 12
1 Previous Position 1,Manchester City MCI,38,28,5,5,93,29,64,89,W Saturday 14 April 2012 NOR 1-6 MCI W Sunday 22 April 2012 WOL 0-2 MCI W Monday 30 April 2012 MCI 1-0 MUN W Sunday 6 May 2012 NEW 0-2 MCI W Sunday 13 May 2012 MCI 3-2 QPR,,
Manchester City label.latestresult: Sunday 13 May 2012 MCI 3-2 QPR Visit Club Page,Manchester City label.latestresult: Sunday 13 May 2012 MCI 3-2 QPR Visit Club Page,Manchester City label.latestresult: Sunday 13 May 2012 MCI 3-2 QPR Visit Club Page,Manchester City label.latestresult: Sunday 13 May 2012 MCI 3-2 QPR Visit Club Page,Manchester City label.latestresult: Sunday 13 May 2012 MCI 3-2 QPR Visit Club Page,Manchester City label.latestresult: Sunday 13 May 2012 MCI 3-2 QPR Visit Club Page,Manchester City label.latestresult: Sunday 13 May 2012 MCI 3-2 QPR Visit Club Page,Manchester City label.latestresult: Sunday 13 May 2012 MCI 3-2 QPR Visit Club Page,Manchester City label.latestresult: Sunday 13 May 2012 MCI 3-2 QPR Visit Club Page,Manchester City label.latestresult: Sunday 13 May 2012 MCI 3-2 QPR Visit Club Page,Manchester City label.latestresult: Sunday 13 May 2012 MCI 3-2 QPR Visit Club Page,Manchester City label.latestresult: Sunday 13 May 2012 MCI 3-2 QPR Visit Club Page,Manchester City label.latestresult: Sunday 13 May 2012 MCI 3-2 QPR Visit Club Page
2 Previous Position 2,Manchester United MUN,38,28,5,5,89,33,56,89,W Sunday 15 April 2012 MUN 4-0 AVL D Sunday 22 April 2012 MUN 4-4 EVE L Monday 30 April 2012 MCI 1-0 MUN W Sunday 6 May 2012 MUN 2-0 SWA W Sunday 13 May 2012 SUN 0-1 MUN,,
Manchester United label.latestresult: Sunday 13 May 2012 SUN 0-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 13 May 2012 SUN 0-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 13 May 2012 SUN 0-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 13 May 2012 SUN 0-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 13 May 2012 SUN 0-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 13 May 2012 SUN 0-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 13 May 2012 SUN 0-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 13 May 2012 SUN 0-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 13 May 2012 SUN 0-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 13 May 2012 SUN 0-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 13 May 2012 SUN 0-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 13 May 2012 SUN 0-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 13 May 2012 SUN 0-1 MUN Visit Club Page
3 Previous Position 3,Arsenal ARS,38,21,7,10,74,49,25,70,L Monday 16 April 2012 ARS 1-2 WIG D Saturday 21 April 2012 ARS 0-0 CHE D Saturday 28 April 2012 STK 1-1 ARS D Saturday 5 May 2012 ARS 3-3 NOR W Sunday 13 May 2012 WBA 2-3 ARS,,
Arsenal label.latestresult: Sunday 13 May 2012 WBA 2-3 ARS Visit Club Page,Arsenal label.latestresult: Sunday 13 May 2012 WBA 2-3 ARS Visit Club Page,Arsenal label.latestresult: Sunday 13 May 2012 WBA 2-3 ARS Visit Club Page,Arsenal label.latestresult: Sunday 13 May 2012 WBA 2-3 ARS Visit Club Page,Arsenal label.latestresult: Sunday 13 May 2012 WBA 2-3 ARS Visit Club Page,Arsenal label.latestresult: Sunday 13 May 2012 WBA 2-3 ARS Visit Club Page,Arsenal label.latestresult: Sunday 13 May 2012 WBA 2-3 ARS Visit Club Page,Arsenal label.latestresult: Sunday 13 May 2012 WBA 2-3 ARS Visit Club Page,Arsenal label.latestresult: Sunday 13 May 2012 WBA 2-3 ARS Visit Club Page,Arsenal label.latestresult: Sunday 13 May 2012 WBA 2-3 ARS Visit Club Page,Arsenal label.latestresult: Sunday 13 May 2012 WBA 2-3 ARS Visit Club Page,Arsenal label.latestresult: Sunday 13 May 2012 WBA 2-3 ARS Visit Club Page,Arsenal label.latestresult: Sunday 13 May 2012 WBA 2-3 ARS Visit Club Page
4 Previous Position 4,Tottenham Hotspur TOT,38,20,9,9,66,41,25,69,L Saturday 21 April 2012 QPR 1-0 TOT W Sunday 29 April 2012 TOT 2-0 BLB W Wednesday 2 May 2012 BOL 1-4 TOT D Sunday 6 May 2012 AVL 1-1 TOT W Sunday 13 May 2012 TOT 2-0 FUL,,
Tottenham Hotspur label.latestresult: Sunday 13 May 2012 TOT 2-0 FUL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 13 May 2012 TOT 2-0 FUL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 13 May 2012 TOT 2-0 FUL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 13 May 2012 TOT 2-0 FUL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 13 May 2012 TOT 2-0 FUL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 13 May 2012 TOT 2-0 FUL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 13 May 2012 TOT 2-0 FUL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 13 May 2012 TOT 2-0 FUL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 13 May 2012 TOT 2-0 FUL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 13 May 2012 TOT 2-0 FUL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 13 May 2012 TOT 2-0 FUL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 13 May 2012 TOT 2-0 FUL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 13 May 2012 TOT 2-0 FUL Visit Club Page
5 Previous Position 5,Newcastle United NEW,38,19,8,11,56,51,5,65,W Saturday 21 April 2012 NEW 3-0 STK L Saturday 28 April 2012 WIG 4-0 NEW W Wednesday 2 May 2012 CHE 0-2 NEW L Sunday 6 May 2012 NEW 0-2 MCI L Sunday 13 May 2012 EVE 3-1 NEW,,
Newcastle United label.latestresult: Sunday 13 May 2012 EVE 3-1 NEW Visit Club Page,Newcastle United label.latestresult: Sunday 13 May 2012 EVE 3-1 NEW Visit Club Page,Newcastle United label.latestresult: Sunday 13 May 2012 EVE 3-1 NEW Visit Club Page,Newcastle United label.latestresult: Sunday 13 May 2012 EVE 3-1 NEW Visit Club Page,Newcastle United label.latestresult: Sunday 13 May 2012 EVE 3-1 NEW Visit Club Page,Newcastle United label.latestresult: Sunday 13 May 2012 EVE 3-1 NEW Visit Club Page,Newcastle United label.latestresult: Sunday 13 May 2012 EVE 3-1 NEW Visit Club Page,Newcastle United label.latestresult: Sunday 13 May 2012 EVE 3-1 NEW Visit Club Page,Newcastle United label.latestresult: Sunday 13 May 2012 EVE 3-1 NEW Visit Club Page,Newcastle United label.latestresult: Sunday 13 May 2012 EVE 3-1 NEW Visit Club Page,Newcastle United label.latestresult: Sunday 13 May 2012 EVE 3-1 NEW Visit Club Page,Newcastle United label.latestresult: Sunday 13 May 2012 EVE 3-1 NEW Visit Club Page,Newcastle United label.latestresult: Sunday 13 May 2012 EVE 3-1 NEW Visit Club Page
