Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,ARS,38,23,9,6,68,33,35,78
2 2,United MUN,38,23,8,7,73,26,47,77
3 3,LIV,38,18,11,9,68,42,26,65
4 4,CHE,38,20,3,15,71,43,28,63
5 5,United LEE,38,17,8,13,57,46,11,59
6 6,Rovers BLB,38,16,10,12,57,52,5,58
7 7,Villa AVL,38,17,6,15,49,48,1,57
8 9,Ham United WHU,38,16,8,14,56,57,-1,56
9 10,County DER,38,16,7,15,52,49,3,55
10 8,City LEI,38,13,14,11,51,41,10,53
11 11,City COV,38,12,16,10,46,44,2,52
12 12,SOU,38,14,6,18,50,55,-5,48
13 13,United NEW,38,11,11,16,35,44,-9,44
14 15,Hotspur TOT,38,11,11,16,44,56,-12,44
15 16,WIM,38,10,14,14,34,46,-12,44
16 14,Wednesday SHW,38,12,8,18,52,67,-15,44
17 18,EVE,38,9,13,16,41,56,-15,40
18 17,Wanderers BOL,38,9,13,16,41,61,-20,40
19 19,BAR,38,10,5,23,37,82,-45,35
20 20,Palace CRY,38,8,9,21,37,71,-34,33
