Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,United MUN,42,24,12,6,67,31,36,84
2 2,Villa AVL,42,21,11,10,57,40,17,74
3 3,City NOR,42,21,9,12,61,65,-4,72
4 4,Rovers BLB,42,20,11,11,68,46,22,71
5 5,Park Rangers QPR,42,17,12,13,63,55,8,63
6 6,LIV,42,16,11,15,62,55,7,59
7 7,Wednesday SHW,42,15,14,13,55,51,4,59
8 11,Hotspur TOT,42,16,11,15,60,66,-6,59
9 8,City MCI,42,15,12,15,56,51,5,57
10 9,ARS,42,15,11,16,40,38,2,56
11 10,CHE,42,14,14,14,51,54,-3,56
12 12,WIM,42,14,12,16,56,55,1,54
13 13,EVE,42,15,8,19,53,55,-2,53
14 14,United SHU,42,14,10,18,54,53,1,52
15 15,City COV,42,13,13,16,52,57,-5,52
16 16,Town IPS,42,12,16,14,50,55,-5,52
17 17,United LEE,42,12,15,15,57,62,-5,51
18 18,SOU,42,13,11,18,54,61,-7,50
19 19,Athletic OLD,42,13,10,19,63,74,-11,49
20 20,Palace CRY,42,11,16,15,48,61,-13,49
21 21,MID,42,11,11,20,54,75,-21,44
22 22,Forest NFO,42,10,10,22,41,62,-21,40
