Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,City MCI,38,32,2,4,95,23,72,98
2 2,LIV,38,30,7,1,89,22,67,97
3 3,CHE,38,21,9,8,63,39,24,72
4 4,Hotspur TOT,38,23,2,13,67,39,28,71
5 5,ARS,38,21,7,10,73,51,22,70
6 6,United MUN,38,19,9,10,65,54,11,66
7 7,Wanderers WOL,38,16,9,13,47,46,1,57
8 8,EVE,38,15,9,14,54,46,8,54
9 9,City LEI,38,15,7,16,51,48,3,52
10 11,Ham United WHU,38,15,7,16,52,55,-3,52
11 10,WAT,38,14,8,16,52,59,-7,50
12 12,Palace CRY,38,14,7,17,51,53,-2,49
13 14,United NEW,38,12,9,17,42,48,-6,45
14 13,BOU,38,13,6,19,56,70,-14,45
15 15,BUR,38,11,7,20,45,68,-23,40
16 16,SOU,38,9,12,17,45,65,-20,39
17 17,and Hove Albion BHA,38,9,9,20,35,60,-25,36
18 18,City CAR,38,10,4,24,34,69,-35,34
19 19,FUL,38,7,5,26,34,81,-47,26
20 20,Town HUD,38,3,7,28,22,76,-54,16
