Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,City MCI,38,32,4,2,106,27,79,100
2 2,United MUN,38,25,6,7,68,28,40,81
3 3,Hotspur TOT,38,23,8,7,74,36,38,77
4 4,LIV,38,21,12,5,84,38,46,75
5 5,CHE,38,21,7,10,62,38,24,70
6 6,ARS,38,19,6,13,74,51,23,63
7 7,BUR,38,14,12,12,36,39,-3,54
8 8,EVE,38,13,10,15,44,58,-14,49
9 9,City LEI,38,12,11,15,56,60,-4,47
10 10,United NEW,38,12,8,18,39,47,-8,44
11 11,Palace CRY,38,11,11,16,45,55,-10,44
12 12,BOU,38,11,11,16,45,61,-16,44
13 15,Ham United WHU,38,10,12,16,48,68,-20,42
14 13,WAT,38,11,8,19,44,64,-20,41
15 14,and Hove Albion BHA,38,9,13,16,34,54,-20,40
16 16,Town HUD,38,9,10,19,28,58,-30,37
17 17,SOU,38,7,15,16,37,56,-19,36
18 18,City SWA,38,8,9,21,28,56,-28,33
19 20,City STK,38,7,12,19,35,68,-33,33
20 19,Bromwich Albion WBA,38,6,13,19,31,56,-25,31
