Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,LIV,38,32,3,3,85,33,52,99
2 2,City MCI,38,26,3,9,102,35,67,81
3 3,United MUN,38,18,12,8,66,36,30,66
4 4,CHE,38,20,6,12,69,54,15,66
5 5,City LEI,38,18,8,12,67,41,26,62
6 7,Hotspur TOT,38,16,11,11,61,47,14,59
7 6,Wanderers WOL,38,15,14,9,51,40,11,59
8 10,ARS,38,14,14,10,56,48,8,56
9 8,United SHU,38,14,12,12,39,39,0,54
10 9,BUR,38,15,9,14,43,50,-7,54
11 12,SOU,38,15,7,16,51,60,-9,52
12 11,EVE,38,13,10,15,44,56,-12,49
13 13,United NEW,38,11,11,16,38,58,-20,44
14 14,Palace CRY,38,11,10,17,31,50,-19,43
15 16,and Hove Albion BHA,38,9,14,15,39,54,-15,41
16 15,Ham United WHU,38,10,9,19,49,62,-13,39
17 17,Villa AVL,38,9,8,21,41,67,-26,35
18 19,BOU,38,9,7,22,40,65,-25,34
19 18,WAT,38,8,10,20,36,64,-28,34
20 20,City NOR,38,5,6,27,26,75,-49,21
