Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,United MUN,38,28,7,3,97,45,52,91
2 2,ARS,38,22,7,9,73,43,30,73
3 3,United LEE,38,21,6,11,58,43,15,69
4 4,LIV,38,19,10,9,51,30,21,67
5 5,CHE,38,18,11,9,53,34,19,65
6 6,Villa AVL,38,15,13,10,46,35,11,58
7 7,SUN,38,16,10,12,57,56,1,58
8 8,City LEI,38,16,7,15,55,55,0,55
9 9,Ham United WHU,38,15,10,13,52,53,-1,55
10 11,Hotspur TOT,38,15,8,15,57,49,8,53
11 12,United NEW,38,14,10,14,63,54,9,52
12 13,MID,38,14,10,14,46,52,-6,52
13 10,EVE,38,12,14,12,59,49,10,50
14 14,City COV,38,12,8,18,47,54,-7,44
15 15,SOU,38,12,8,18,45,62,-17,44
16 16,County DER,38,9,11,18,44,57,-13,38
17 18,City BRA,38,9,9,20,38,68,-30,36
18 17,WIM,38,7,12,19,46,74,-28,33
19 19,Wednesday SHW,38,8,7,23,38,70,-32,31
20 20,WAT,38,6,6,26,35,77,-42,24
