Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,City MCI,38,27,5,6,83,32,51,86
2 2,United MUN,38,21,11,6,73,44,29,74
3 4,LIV,38,20,9,9,68,42,26,69
4 3,CHE,38,19,10,9,58,36,22,67
5 5,City LEI,38,20,6,12,68,50,18,66
6 6,Ham United WHU,38,19,8,11,62,47,15,65
7 7,Hotspur TOT,38,18,8,12,68,45,23,62
8 9,ARS,38,18,7,13,55,39,16,61
9 10,United LEE,38,18,5,15,62,54,8,59
10 8,EVE,38,17,8,13,47,48,-1,59
11 11,Villa AVL,38,16,7,15,55,46,9,55
12 15,United NEW,38,12,9,17,46,62,-16,45
13 12,Wanderers WOL,38,12,9,17,36,52,-16,45
14 13,Palace CRY,38,12,8,18,41,66,-25,44
15 14,SOU,38,12,7,19,47,68,-21,43
16 16,and Hove Albion BHA,38,9,14,15,40,46,-6,41
17 17,BUR,38,10,9,19,33,55,-22,39
18 18,FUL,38,5,13,20,27,53,-26,28
19 19,Bromwich Albion WBA,38,5,11,22,35,76,-41,26
20 20,United SHU,38,7,2,29,20,63,-43,23
