Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,United MUN,38,28,6,4,68,24,44,90
2 2,LIV,38,25,11,2,77,27,50,86
3 3,CHE,38,25,8,5,68,24,44,83
4 4,ARS,38,20,12,6,68,37,31,72
5 5,EVE,38,17,12,9,55,37,18,63
6 6,Villa AVL,38,17,11,10,54,48,6,62
7 7,FUL,38,14,11,13,39,34,5,53
8 8,Hotspur TOT,38,14,9,15,45,45,0,51
9 9,Ham United WHU,38,14,9,15,42,45,-3,51
10 10,City MCI,38,15,5,18,58,50,8,50
11 12,Athletic WIG,38,12,9,17,34,45,-11,45
12 11,City STK,38,12,9,17,38,55,-17,45
13 13,Wanderers BOL,38,11,8,19,41,53,-12,41
14 14,POR,38,10,11,17,38,57,-19,41
15 15,Rovers BLB,38,10,11,17,40,60,-20,41
16 16,SUN,38,9,9,20,34,54,-20,36
17 17,City HUL,38,8,11,19,39,64,-25,35
18 18,United NEW,38,7,13,18,40,59,-19,34
19 19,MID,38,7,11,20,28,57,-29,32
20 20,Bromwich Albion WBA,38,8,8,22,36,67,-31,32
