Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,United MUN,38,22,13,3,80,37,43,79
2 2,ARS,38,22,12,4,59,17,42,78
3 3,CHE,38,20,15,3,57,30,27,75
4 4,United LEE,38,18,13,7,62,34,28,67
5 6,Ham United WHU,38,16,9,13,46,53,-7,57
6 5,Villa AVL,38,15,10,13,51,46,5,55
7 8,LIV,38,15,9,14,68,49,19,54
8 7,County DER,38,13,13,12,40,45,-5,52
9 9,MID,38,12,15,11,48,54,-6,51
10 10,City LEI,38,12,13,13,40,46,-6,49
11 11,Hotspur TOT,38,11,14,13,47,50,-3,47
12 13,Wednesday SHW,38,13,7,18,41,42,-1,46
13 12,United NEW,38,11,13,14,48,54,-6,46
14 14,EVE,38,11,10,17,42,47,-5,43
15 16,City COV,38,11,9,18,39,51,-12,42
16 15,WIM,38,10,12,16,40,63,-23,42
17 17,SOU,38,11,8,19,37,64,-27,41
18 18,Athletic CHA,38,8,12,18,41,56,-15,36
19 19,Rovers BLB,38,7,14,17,38,52,-14,35
20 20,Forest NFO,38,7,9,22,35,69,-34,30
