Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,CHE,38,29,4,5,72,22,50,91
2 2,United MUN,38,25,8,5,72,34,38,83
3 3,LIV,38,25,7,6,57,25,32,82
4 5,ARS,38,20,7,11,68,31,37,67
5 4,Hotspur TOT,38,18,11,9,53,38,15,65
6 6,Rovers BLB,38,19,6,13,51,42,9,63
7 7,United NEW,38,17,7,14,47,42,5,58
8 8,Wanderers BOL,38,15,11,12,49,41,8,56
9 9,Ham United WHU,38,16,7,15,52,55,-3,55
10 10,Athletic WIG,38,15,6,17,45,52,-7,51
11 11,EVE,38,14,8,16,34,49,-15,50
12 14,FUL,38,14,6,18,48,58,-10,48
13 12,Athletic CHA,38,13,8,17,41,55,-14,47
14 13,MID,38,12,9,17,48,58,-10,45
15 15,City MCI,38,13,4,21,43,48,-5,43
16 16,Villa AVL,38,10,12,16,42,55,-13,42
17 17,POR,38,10,8,20,37,62,-25,38
18 18,City BIR,38,8,10,20,28,50,-22,34
19 19,Bromwich Albion WBA,38,7,9,22,31,58,-27,30
20 20,SUN,38,3,6,29,26,69,-43,15
