Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,CHE,38,30,3,5,85,33,52,93
2 2,Hotspur TOT,38,26,8,4,86,26,60,86
3 3,City MCI,38,23,9,6,80,39,41,78
4 4,LIV,38,22,10,6,78,42,36,76
5 5,ARS,38,23,6,9,77,44,33,75
6 6,United MUN,38,18,15,5,54,29,25,69
7 7,EVE,38,17,10,11,62,44,18,61
8 8,SOU,38,12,10,16,41,48,-7,46
9 10,BOU,38,12,10,16,55,67,-12,46
10 9,Bromwich Albion WBA,38,12,9,17,43,51,-8,45
11 12,Ham United WHU,38,12,9,17,47,64,-17,45
12 11,City LEI,38,12,8,18,48,63,-15,44
13 14,City STK,38,11,11,16,41,56,-15,44
14 13,Palace CRY,38,12,5,21,50,63,-13,41
15 17,City SWA,38,12,5,21,45,70,-25,41
16 15,BUR,38,11,7,20,39,55,-16,40
17 16,WAT,38,11,7,20,40,68,-28,40
18 18,City HUL,38,9,7,22,37,80,-43,34
19 19,MID,38,5,13,20,27,53,-26,28
20 20,SUN,38,6,6,26,29,69,-40,24
