Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,CHE,38,26,9,3,73,32,41,87
2 2,City MCI,38,24,7,7,83,38,45,79
3 3,ARS,38,22,9,7,71,36,35,75
4 4,United MUN,38,20,10,8,62,37,25,70
5 6,Hotspur TOT,38,19,7,12,58,53,5,64
6 5,LIV,38,18,8,12,52,48,4,62
7 7,SOU,38,18,6,14,54,33,21,60
8 8,City SWA,38,16,8,14,46,49,-3,56
9 9,City STK,38,15,9,14,48,45,3,54
10 12,Palace CRY,38,13,9,16,47,51,-4,48
11 10,EVE,38,12,11,15,48,50,-2,47
12 11,Ham United WHU,38,12,11,15,44,47,-3,47
13 13,Bromwich Albion WBA,38,11,11,16,38,51,-13,44
14 14,City LEI,38,11,8,19,46,55,-9,41
15 17,United NEW,38,10,9,19,40,63,-23,39
16 15,SUN,38,7,17,14,31,53,-22,38
17 16,Villa AVL,38,10,8,20,31,57,-26,38
18 18,City HUL,38,8,11,19,33,51,-18,35
19 19,BUR,38,7,12,19,28,53,-25,33
20 20,Park Rangers QPR,38,8,6,24,42,73,-31,30
