Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,City LEI,38,23,12,3,68,36,32,81
2 3,ARS,38,20,11,7,65,36,29,71
3 2,Hotspur TOT,38,19,13,6,69,35,34,70
4 4,City MCI,38,19,9,10,71,41,30,66
5 5,United MUN,38,19,9,10,49,35,14,66
6 7,SOU,38,18,9,11,59,41,18,63
7 6,Ham United WHU,38,16,14,8,65,51,14,62
8 8,LIV,38,16,12,10,63,50,13,60
9 10,City STK,38,14,9,15,41,55,-14,51
10 9,CHE,38,12,14,12,59,53,6,50
11 12,EVE,38,11,14,13,59,55,4,47
12 11,City SWA,38,12,11,15,42,52,-10,47
13 13,WAT,38,12,9,17,40,50,-10,45
14 15,Bromwich Albion WBA,38,10,13,15,34,48,-14,43
15 14,Palace CRY,38,11,9,18,39,51,-12,42
16 16,BOU,38,11,9,18,45,67,-22,42
17 17,SUN,38,9,12,17,48,62,-14,39
18 18,United NEW,38,9,10,19,44,65,-21,37
19 19,City NOR,38,9,7,22,39,67,-28,34
20 20,Villa AVL,38,3,8,27,27,76,-49,17
