Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,CHE,38,29,8,1,72,15,57,95
2 2,ARS,38,25,8,5,87,36,51,83
3 3,United MUN,38,22,11,5,58,26,32,77
4 4,EVE,38,18,7,13,45,46,-1,61
5 5,LIV,38,17,7,14,52,41,11,58
6 6,Wanderers BOL,38,16,10,12,49,44,5,58
7 7,MID,38,14,13,11,53,46,7,55
8 8,City MCI,38,13,13,12,47,39,8,52
9 9,Hotspur TOT,38,14,10,14,47,41,6,52
10 10,Villa AVL,38,12,11,15,45,52,-7,47
11 11,Athletic CHA,38,12,10,16,42,58,-16,46
12 13,City BIR,38,11,12,15,40,46,-6,45
13 15,FUL,38,12,8,18,52,60,-8,44
14 12,United NEW,38,10,14,14,47,57,-10,44
15 14,Rovers BLB,38,9,15,14,32,43,-11,42
16 16,POR,38,10,9,19,43,59,-16,39
17 20,Bromwich Albion WBA,38,6,16,16,36,61,-25,34
18 19,Palace CRY,38,7,12,19,41,62,-21,33
19 17,City NOR,38,7,12,19,42,77,-35,33
20 18,SOU,38,6,14,18,45,66,-21,32
