Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,City MCI,38,28,5,5,93,29,64,89
2 2,United MUN,38,28,5,5,89,33,56,89
3 3,ARS,38,21,7,10,74,49,25,70
4 4,Hotspur TOT,38,20,9,9,66,41,25,69
5 5,United NEW,38,19,8,11,56,51,5,65
6 6,CHE,38,18,10,10,65,46,19,64
7 7,EVE,38,15,11,12,50,40,10,56
8 8,LIV,38,14,10,14,47,40,7,52
9 9,FUL,38,14,10,14,48,51,-3,52
10 10,Bromwich Albion WBA,38,13,8,17,45,52,-7,47
11 12,City SWA,38,12,11,15,44,51,-7,47
12 13,City NOR,38,12,11,15,52,66,-14,47
13 11,SUN,38,11,12,15,45,46,-1,45
14 14,City STK,38,11,12,15,36,53,-17,45
15 15,Athletic WIG,38,11,10,17,42,62,-20,43
16 16,Villa AVL,38,7,17,14,37,53,-16,38
17 17,Park Rangers QPR,38,10,7,21,43,66,-23,37
18 18,Wanderers BOL,38,10,6,22,46,77,-31,36
19 19,Rovers BLB,38,8,7,23,48,78,-30,31
20 20,Wanderers WOL,38,5,10,23,40,82,-42,25
