Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 2,City MCI,36,26,7,3,91,33,58,85
2 1,ARS,36,26,5,5,88,28,60,83
3 3,LIV,36,23,9,4,81,38,43,78
4 4,Villa AVL,36,20,7,9,73,53,20,67
5 5,Hotspur TOT,36,19,6,11,71,59,12,63
6 6,United NEW,36,17,6,13,79,57,22,57
7 7,CHE,36,16,9,11,73,61,12,57
8 8,United MUN,35,16,6,13,52,55,-3,54
9 9,Ham United WHU,37,14,10,13,59,71,-12,52
10 11,and Hove Albion BHA,36,12,12,12,54,58,-4,48
11 10,BOU,37,13,9,15,53,65,-12,48
12 14,Palace CRY,37,12,10,15,52,58,-6,46
13 12,Wanderers WOL,37,13,7,17,50,63,-13,46
14 13,FUL,37,12,8,17,51,59,-8,44
15 15,EVE,37,13,9,15,39,49,-10,40
16 16,BRE,37,10,9,18,54,61,-7,39
17 17,Forest NFO,37,8,9,20,47,66,-19,29
18 18,Town LUT,37,6,8,23,50,81,-31,26
19 19,BUR,37,5,9,23,40,76,-36,24
20 20,United SHU,37,3,7,27,35,101,-66,16
