Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,United MUN,38,27,6,5,80,22,58,87
2 2,CHE,38,25,10,3,65,26,39,85
3 3,ARS,38,24,11,3,74,31,43,83
4 4,LIV,38,21,13,4,67,28,39,76
5 5,EVE,38,19,8,11,55,33,22,65
6 6,Villa AVL,38,16,12,10,71,51,20,60
7 7,Rovers BLB,38,15,13,10,50,48,2,58
8 8,POR,38,16,9,13,48,40,8,57
9 9,City MCI,38,15,10,13,45,53,-8,55
10 10,Ham United WHU,38,13,10,15,42,50,-8,49
11 11,Hotspur TOT,38,11,13,14,66,61,5,46
12 12,United NEW,38,11,10,17,45,65,-20,43
13 14,MID,38,10,12,16,43,53,-10,42
14 13,Athletic WIG,38,10,10,18,34,51,-17,40
15 15,SUN,38,11,6,21,36,59,-23,39
16 16,Wanderers BOL,38,9,10,19,36,54,-18,37
17 17,FUL,38,8,12,18,38,60,-22,36
18 18,RDG,38,10,6,22,41,66,-25,36
19 19,City BIR,38,8,11,19,46,62,-16,35
20 20,County DER,38,1,8,29,20,89,-69,11
