Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,ARS,38,26,12,0,73,26,47,90
2 2,CHE,38,24,7,7,67,30,37,79
3 3,United MUN,38,23,6,9,64,35,29,75
4 4,LIV,38,16,12,10,55,37,18,60
5 6,United NEW,38,13,17,8,52,40,12,56
6 5,Villa AVL,38,15,11,12,48,44,4,56
7 8,Athletic CHA,38,14,11,13,51,51,0,53
8 7,Wanderers BOL,38,14,11,13,48,56,-8,53
9 9,FUL,38,14,10,14,52,46,6,52
10 10,City BIR,38,12,14,12,43,48,-5,50
11 11,MID,38,13,9,16,44,52,-8,48
12 12,SOU,38,12,11,15,44,45,-1,47
13 14,POR,38,12,9,17,47,54,-7,45
14 15,Hotspur TOT,38,13,6,19,47,57,-10,45
15 13,Rovers BLB,38,12,8,18,51,59,-8,44
16 17,City MCI,38,9,14,15,55,54,1,41
17 16,EVE,38,9,12,17,45,57,-12,39
18 18,City LEI,38,6,15,17,48,65,-17,33
19 20,United LEE,38,8,9,21,40,79,-39,33
20 19,Wanderers WOL,38,7,12,19,38,77,-39,33
