Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,United MUN,38,28,5,5,86,43,43,89
2 2,City MCI,38,23,9,6,66,34,32,78
3 3,CHE,38,22,9,7,75,39,36,75
4 4,ARS,38,21,10,7,72,37,35,73
5 5,Hotspur TOT,38,21,9,8,66,46,20,72
6 6,EVE,38,16,15,7,55,40,15,63
7 7,LIV,38,16,13,9,71,43,28,61
8 8,Bromwich Albion WBA,38,14,7,17,53,57,-4,49
9 9,City SWA,38,11,13,14,47,51,-4,46
10 10,Ham United WHU,38,12,10,16,45,53,-8,46
11 12,City NOR,38,10,14,14,41,58,-17,44
12 15,FUL,38,11,10,17,50,60,-10,43
13 11,City STK,38,9,15,14,34,45,-11,42
14 14,SOU,38,9,14,15,49,60,-11,41
15 16,Villa AVL,38,10,11,17,47,69,-22,41
16 13,United NEW,38,11,8,19,45,68,-23,41
17 17,SUN,38,9,12,17,41,54,-13,39
18 18,Athletic WIG,38,9,9,20,47,73,-26,36
19 19,RDG,38,6,10,22,43,73,-30,28
20 20,Park Rangers QPR,38,4,13,21,30,60,-30,25
