Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,United MUN,38,25,7,6,73,35,38,82
2 2,United NEW,38,24,6,8,66,37,29,78
3 3,LIV,38,20,11,7,70,34,36,71
4 4,Villa AVL,38,18,9,11,52,35,17,63
5 5,ARS,38,17,12,9,49,32,17,63
6 7,EVE,38,17,10,11,64,44,20,61
7 8,Rovers BLB,38,18,7,13,61,47,14,61
8 6,Hotspur TOT,38,16,13,9,50,38,12,61
9 9,Forest NFO,38,15,13,10,50,54,-4,58
10 11,Ham United WHU,38,14,9,15,43,52,-9,51
11 10,CHE,38,12,14,12,46,44,2,50
12 12,MID,38,11,10,17,35,50,-15,43
13 13,United LEE,38,12,7,19,40,57,-17,43
14 14,WIM,38,10,11,17,55,70,-15,41
15 15,Wednesday SHW,38,10,10,18,48,61,-13,40
16 16,City COV,38,8,14,16,42,60,-18,38
17 17,SOU,38,9,11,18,34,52,-18,38
18 18,City MCI,38,9,11,18,33,58,-25,38
19 19,Park Rangers QPR,38,9,6,23,38,57,-19,33
20 20,Wanderers BOL,38,8,5,25,39,71,-32,29
