Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,CHE,38,27,5,6,103,32,71,86
2 2,United MUN,38,27,4,7,86,28,58,85
3 3,ARS,38,23,6,9,83,41,42,75
4 4,Hotspur TOT,38,21,7,10,67,41,26,70
5 5,City MCI,38,18,13,7,73,45,28,67
6 6,Villa AVL,38,17,13,8,52,39,13,64
7 7,LIV,38,18,9,11,61,35,26,63
8 8,EVE,38,16,13,9,60,49,11,61
9 9,City BIR,38,13,11,14,38,47,-9,50
10 11,Rovers BLB,38,13,11,14,41,55,-14,50
11 10,City STK,38,11,14,13,34,48,-14,47
12 12,FUL,38,12,10,16,39,46,-7,46
13 13,SUN,38,11,11,16,48,56,-8,44
14 14,Wanderers BOL,38,10,9,19,42,67,-25,39
15 16,Wanderers WOL,38,9,11,18,32,56,-24,38
16 15,Athletic WIG,38,9,9,20,37,79,-42,36
17 17,Ham United WHU,38,8,11,19,47,66,-19,35
18 19,BUR,38,8,6,24,42,82,-40,30
19 18,City HUL,38,6,12,20,34,75,-41,30
20 20,POR,38,7,7,24,34,66,-32,19
