Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,Rovers BLB,42,27,8,7,80,39,41,89
2 2,United MUN,42,26,10,6,77,28,49,88
3 3,Forest NFO,42,22,11,9,72,43,29,77
4 5,LIV,42,21,11,10,65,37,28,74
5 4,United LEE,42,20,13,9,59,38,21,73
6 6,United NEW,42,20,12,10,67,47,20,72
7 7,Hotspur TOT,42,16,14,12,66,58,8,62
8 8,Park Rangers QPR,42,17,9,16,61,59,2,60
9 9,WIM,42,15,11,16,48,65,-17,56
10 10,SOU,42,12,18,12,61,63,-2,54
11 12,CHE,42,13,15,14,50,55,-5,54
12 11,ARS,42,13,12,17,52,49,3,51
13 17,Wednesday SHW,42,13,12,17,49,57,-8,51
14 13,Ham United WHU,42,13,11,18,44,48,-4,50
15 14,EVE,42,11,17,14,44,51,-7,50
16 16,City COV,42,12,14,16,44,62,-18,50
17 15,City MCI,42,12,13,17,53,64,-11,49
18 18,Villa AVL,42,11,15,16,51,56,-5,48
19 19,Palace CRY,42,11,12,19,34,49,-15,45
20 20,City NOR,42,10,13,19,37,54,-17,43
21 21,City LEI,42,6,11,25,45,80,-35,29
22 22,Town IPS,42,7,6,29,36,93,-57,27
