Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,United MUN,42,27,11,4,80,38,42,92
2 2,Rovers BLB,42,25,9,8,63,36,27,84
3 3,United NEW,42,23,8,11,82,41,41,77
4 4,ARS,42,18,17,7,53,28,25,71
5 5,United LEE,42,18,16,8,65,39,26,70
6 6,WIM,42,18,11,13,56,53,3,65
7 7,Wednesday SHW,42,16,16,10,76,54,22,64
8 8,LIV,42,17,9,16,59,55,4,60
9 9,Park Rangers QPR,42,16,12,14,62,61,1,60
10 11,Villa AVL,42,15,12,15,46,50,-4,57
11 10,City COV,42,14,14,14,43,45,-2,56
12 12,City NOR,42,12,17,13,65,61,4,53
13 13,Ham United WHU,42,13,13,16,47,58,-11,52
14 14,CHE,42,13,12,17,49,53,-4,51
15 15,Hotspur TOT,42,11,12,19,54,59,-5,45
16 16,City MCI,42,9,18,15,38,49,-11,45
17 20,EVE,42,12,8,22,42,63,-21,44
18 17,SOU,42,12,7,23,49,66,-17,43
19 19,Town IPS,42,9,16,17,35,58,-23,43
20 18,United SHU,42,8,18,16,42,60,-18,42
21 21,Athletic OLD,42,9,13,20,42,68,-26,40
22 22,Town SWI,42,5,15,22,47,100,-53,30
