Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,United MUN,38,24,8,6,79,31,48,80
2 2,ARS,38,20,10,8,63,38,25,70
3 3,LIV,38,20,9,9,71,39,32,69
4 4,United LEE,38,20,8,10,64,43,21,68
5 5,Town IPS,38,20,6,12,57,42,15,66
6 6,CHE,38,17,10,11,68,45,23,61
7 7,SUN,38,15,12,11,46,41,5,57
8 8,Villa AVL,38,13,15,10,46,43,3,54
9 9,Athletic CHA,38,14,10,14,50,57,-7,52
10 10,SOU,38,14,10,14,40,48,-8,52
11 11,United NEW,38,14,9,15,44,50,-6,51
12 13,Hotspur TOT,38,13,10,15,47,54,-7,49
13 12,City LEI,38,14,6,18,39,51,-12,48
14 17,MID,38,9,15,14,44,44,0,42
15 14,Ham United WHU,38,10,12,16,45,50,-5,42
16 15,EVE,38,11,9,18,45,59,-14,42
17 16,County DER,38,10,12,16,37,59,-22,42
18 18,City MCI,38,8,10,20,41,65,-24,34
19 19,City COV,38,8,10,20,36,63,-27,34
20 20,City BRA,38,5,11,22,30,70,-40,26
