Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,United MUN,38,25,8,5,74,34,40,83
2 2,ARS,38,23,9,6,85,42,43,78
3 3,United NEW,38,21,6,11,63,48,15,69
4 4,CHE,38,19,10,9,68,38,30,67
5 5,LIV,38,18,10,10,61,41,20,64
6 7,Rovers BLB,38,16,12,10,52,43,9,60
7 6,EVE,38,17,8,13,48,49,-1,59
8 11,SOU,38,13,13,12,43,46,-3,52
9 8,City MCI,38,15,6,17,47,54,-7,51
10 9,Hotspur TOT,38,14,8,16,51,62,-11,50
11 10,MID,38,13,10,15,48,44,4,49
12 12,Athletic CHA,38,14,7,17,45,56,-11,49
13 13,City BIR,38,13,9,16,41,49,-8,48
14 15,FUL,38,13,9,16,41,50,-9,48
15 16,United LEE,38,14,5,19,58,57,1,47
16 14,Villa AVL,38,12,9,17,42,47,-5,45
17 17,Wanderers BOL,38,10,14,14,41,51,-10,44
18 18,Ham United WHU,38,10,12,16,42,59,-17,42
19 19,Bromwich Albion WBA,38,6,8,24,29,65,-36,26
20 20,SUN,38,4,7,27,21,65,-44,19
