Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,ARS,38,26,9,3,79,36,43,87
2 2,LIV,38,24,8,6,67,30,37,80
3 3,United MUN,38,24,5,9,87,45,42,77
4 4,United NEW,38,21,8,9,74,52,22,71
5 6,United LEE,38,18,12,8,53,37,16,66
6 5,CHE,38,17,13,8,66,38,28,64
7 8,Ham United WHU,38,15,8,15,48,57,-9,53
8 9,Villa AVL,38,12,14,12,46,47,-1,50
9 7,Hotspur TOT,38,14,8,16,49,53,-4,50
10 12,Rovers BLB,38,12,10,16,55,51,4,46
11 15,SOU,38,12,9,17,46,54,-8,45
12 10,MID,38,12,9,17,35,47,-12,45
13 11,FUL,38,10,14,14,36,44,-8,44
14 14,Athletic CHA,38,10,14,14,38,49,-11,44
15 13,EVE,38,11,10,17,45,57,-12,43
16 16,Wanderers BOL,38,9,13,16,44,62,-18,40
17 17,SUN,38,10,10,18,29,51,-22,40
18 18,Town IPS,38,9,9,20,41,64,-23,36
19 19,County DER,38,8,6,24,33,63,-30,30
20 20,City LEI,38,5,13,20,30,64,-34,28
