Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,United MUN,38,21,12,5,76,44,32,75
2 3,United NEW,38,19,11,8,73,40,33,68
3 4,ARS,38,19,11,8,62,32,30,68
4 2,LIV,38,19,11,8,62,37,25,68
5 5,Villa AVL,38,17,10,11,47,34,13,61
6 6,CHE,38,16,11,11,58,55,3,59
7 7,Wednesday SHW,38,14,15,9,50,51,-1,57
8 8,WIM,38,15,11,12,49,46,3,56
9 12,City LEI,38,12,11,15,46,54,-8,47
10 9,Hotspur TOT,38,13,7,18,44,51,-7,46
11 11,United LEE,38,11,13,14,28,38,-10,46
12 10,County DER,38,11,13,14,45,58,-13,46
13 13,Rovers BLB,38,9,15,14,42,43,-1,42
14 14,Ham United WHU,38,10,12,16,39,48,-9,42
15 15,EVE,38,10,12,16,44,57,-13,42
16 16,SOU,38,10,11,17,50,56,-6,41
17 19,City COV,38,9,14,15,38,54,-16,41
18 17,SUN,38,10,10,18,35,53,-18,40
19 18,MID,38,10,12,16,51,60,-9,39
20 20,Forest NFO,38,6,16,16,31,59,-28,34
