Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,United MUN,38,28,5,5,83,27,56,89
2 2,CHE,38,24,11,3,64,24,40,83
3 3,LIV,38,20,8,10,57,27,30,68
4 4,ARS,38,19,11,8,63,35,28,68
5 6,Hotspur TOT,38,17,9,12,57,54,3,60
6 5,EVE,38,15,13,10,52,36,16,58
7 7,Wanderers BOL,38,16,8,14,47,52,-5,56
8 8,RDG,38,16,7,15,52,47,5,55
9 9,POR,38,14,12,12,45,42,3,54
10 10,Rovers BLB,38,15,7,16,52,54,-2,52
11 11,Villa AVL,38,11,17,10,43,41,2,50
12 12,MID,38,12,10,16,44,49,-5,46
13 13,United NEW,38,11,10,17,38,47,-9,43
14 14,City MCI,38,11,9,18,29,44,-15,42
15 17,Ham United WHU,38,12,5,21,35,59,-24,41
16 15,FUL,38,8,15,15,38,60,-22,39
17 18,Athletic WIG,38,10,8,20,37,59,-22,38
18 16,United SHU,38,10,8,20,32,55,-23,38
19 19,Athletic CHA,38,8,10,20,34,60,-26,34
20 20,WAT,38,5,13,20,29,59,-30,28
