Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,City MCI,38,27,5,6,102,37,65,86
2 2,LIV,38,26,6,6,101,50,51,84
3 3,CHE,38,25,7,6,71,27,44,82
4 4,ARS,38,24,7,7,68,41,27,79
5 5,EVE,38,21,9,8,61,39,22,72
6 6,Hotspur TOT,38,21,6,11,55,51,4,69
7 7,United MUN,38,19,7,12,64,43,21,64
8 8,SOU,38,15,11,12,54,46,8,56
9 10,City STK,38,13,11,14,45,52,-7,50
10 9,United NEW,38,15,4,19,43,59,-16,49
11 11,Palace CRY,38,13,6,19,33,48,-15,45
12 13,City SWA,38,11,9,18,54,54,0,42
13 12,Ham United WHU,38,11,7,20,40,51,-11,40
14 14,SUN,38,10,8,20,41,60,-19,38
15 15,Villa AVL,38,10,8,20,39,61,-22,38
16 16,City HUL,38,10,7,21,38,53,-15,37
17 17,Bromwich Albion WBA,38,7,15,16,43,59,-16,36
18 18,City NOR,38,8,9,21,28,62,-34,33
19 19,FUL,38,9,5,24,40,85,-45,32
20 20,City CAR,38,7,9,22,32,74,-42,30
