Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,BVBDortmundBorussia Dortmund,,34,19,11,4,76:38,38,68
,2,,FCBFC BayernFC Bayern München,,34,19,5,10,66:46,20,62
,3,,S04SchalkeFC Schalke 04,,34,14,14,6,45:36,9,56
,4,,BMGM'gladbachBorussia M'gladbach,,34,15,8,11,52:51,1,53
,5,,HSVHamburgHamburger SV,,34,12,14,8,52:47,5,50
,6,,FCHRostockFC Hansa Rostock,,34,13,10,11,47:43,4,49
,7,,KSCKarlsruheKarlsruher SC,,34,12,12,10,53:47,6,48
,8,,M601860 MünchenTSV 1860 München,,34,11,12,11,52:46,6,45
,9,,SVWBremenSV Werder Bremen,,34,10,14,10,39:42,-3,44
,10,,VFBStuttgartVfB Stuttgart,,34,10,13,11,59:62,-3,43
,11,,SCFFreiburgSC Freiburg,,34,11,9,14,30:41,-11,42
,12,,KOEKöln1. FC Köln,,34,9,13,12,33:35,-2,40
,13,,F95DüsseldorfFortuna Düsseldorf,,34,8,16,10,40:47,-7,40
,14,,B04LeverkusenBayer 04 Leverkusen,,34,8,14,12,37:38,-1,38
,15,,STPSt. PauliFC St. Pauli,,34,9,11,14,43:51,-8,38
,16,,FCKK'lautern1. FC Kaiserslautern,,34,6,18,10,31:37,-6,36
,17,,SGEFrankfurtEintracht Frankfurt,,34,7,11,16,43:68,-25,32
,18,,KREUerdingenKFC Uerdingen 05,,34,5,11,18,33:56,-23,26
