Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,BMGM'gladbachBorussia M'gladbach,,34,20,10,4,77:35,42,50
,2,,FCBFC BayernFC Bayern München,,34,19,10,5,74:36,38,48
,3,,BSCHertha BSCHertha BSC,,34,16,9,9,61:43,18,41
,4,,EBSBraunschweigEintracht Braunschweig,,34,16,7,11,52:40,12,39
,5,,HSVHamburgHamburger SV,,34,13,11,10,54:63,-9,37
,6,,S04SchalkeFC Schalke 04,,34,15,6,13,44:40,4,36
,7,,MSVDuisburgMSV Duisburg,,34,12,11,11,43:47,-4,35
,8,,FCKK'lautern1. FC Kaiserslautern,,34,15,4,15,54:57,-3,34
,9,,H96HannoverHannover 96,,34,12,9,13,53:49,4,33
,10,,SVWBremenSV Werder Bremen,,34,11,11,12,41:40,1,33
,11,,KOEKöln1. FC Köln,,34,11,11,12,46:56,-10,33
,12,,VFBStuttgartVfB Stuttgart,,34,11,8,15,49:49,0,30
,13,,BVBDortmundBorussia Dortmund,,34,10,9,15,54:60,-6,29
,14,,DSCBielefeldDSC Arminia Bielefeld,,34,12,5,17,34:53,-19,29
,15,,SGEFrankfurtEintracht Frankfurt,,34,11,6,17,39:56,-17,28
,16,,RWOOberhausenRot-Weiß Oberhausen,,34,9,9,16,54:69,-15,27
,17,,OFFOffenbachKickers Offenbach,,34,9,9,16,49:65,-16,27
,18,,RWEEssenRot-Weiss Essen,,34,7,9,18,48:68,-20,23
