Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCBFC BayernFC Bayern München,,34,26,4,4,100:32,68,82
,2,,BVBDortmundBorussia Dortmund,,34,21,6,7,84:41,43,69
,3,,RBLLeipzigRB Leipzig,,34,18,12,4,81:37,44,66
,4,,BMGM'gladbachBorussia M'gladbach,,34,20,5,9,66:40,26,65
,5,,B04LeverkusenBayer 04 Leverkusen,,34,19,6,9,61:44,17,63
,6,,TSGHoffenheimTSG Hoffenheim,,34,15,7,12,53:53,0,52
,7,,WOBWolfsburgVfL Wolfsburg,,34,13,10,11,48:46,2,49
,8,,SCFFreiburgSC Freiburg,,34,13,9,12,48:47,1,48
,9,,SGEFrankfurtEintracht Frankfurt,,34,13,6,15,59:60,-1,45
,10,,BSCHertha BSCHertha BSC,,34,11,8,15,48:59,-11,41
,11,,FCUUnion Berlin1. FC Union Berlin,,34,12,5,17,41:58,-17,41
,12,,S04SchalkeFC Schalke 04,,34,9,12,13,38:58,-20,39
,13,,M05Mainz1. FSV Mainz 05,,34,11,4,19,44:65,-21,37
,14,,KOEKöln1. FC Köln,,34,10,6,18,51:69,-18,36
,15,,FCAAugsburgFC Augsburg,,34,9,9,16,45:63,-18,36
,16,,SVWBremenSV Werder Bremen,,34,8,7,19,42:69,-27,31
,17,,F95DüsseldorfFortuna Düsseldorf,,34,6,12,16,36:67,-31,30
,18,,SCPPaderbornSC Paderborn 07,,34,4,8,22,37:74,-37,20
