Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCBFC BayernFC Bayern München,,34,22,9,3,67:32,35,75
,2,,SVWBremenSV Werder Bremen,,34,21,7,6,79:37,42,70
,3,,HSVHamburgHamburger SV,,34,21,5,8,53:30,23,68
,4,,S04SchalkeFC Schalke 04,,34,16,13,5,47:31,16,61
,5,,B04LeverkusenBayer 04 Leverkusen,,34,14,10,10,64:49,15,52
,6,,BSCHertha BSCHertha BSC,,34,12,12,10,52:48,4,48
,7,,BVBDortmundBorussia Dortmund,,34,11,13,10,45:42,3,46
,8,,FCNNürnberg1. FC Nürnberg,,34,12,8,14,49:51,-2,44
,9,,VFBStuttgartVfB Stuttgart,,34,9,16,9,37:39,-2,43
,10,,BMGM'gladbachBorussia M'gladbach,,34,10,12,12,42:50,-8,42
,11,,M05Mainz1. FSV Mainz 05,,34,9,11,14,46:47,-1,38
,12,,H96HannoverHannover 96,,34,7,17,10,43:47,-4,38
,13,,DSCBielefeldDSC Arminia Bielefeld,,34,10,7,17,32:47,-15,37
,14,,SGEFrankfurtEintracht Frankfurt,,34,9,9,16,42:51,-9,36
,15,,WOBWolfsburgVfL Wolfsburg,,34,7,13,14,33:55,-22,34
,16,,FCKK'lautern1. FC Kaiserslautern,,34,8,9,17,47:71,-24,33
,17,,KOEKöln1. FC Köln,,34,7,9,18,49:71,-22,30
,18,,MSVDuisburgMSV Duisburg,,34,5,12,17,34:63,-29,27
