Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,BMGM'gladbachBorussia M'gladbach,,34,23,5,6,71:29,42,51
,2,,FCBFC BayernFC Bayern München,,34,21,5,8,88:37,51,47
,3,,BSCHertha BSCHertha BSC,,34,20,5,9,67:41,26,45
,4,,KOEKöln1. FC Köln,,34,20,3,11,83:38,45,43
,5,,BVBDortmundBorussia Dortmund,,34,14,8,12,60:67,-7,36
,6,,HSVHamburgHamburger SV,,34,12,11,11,57:54,3,35
,7,,VFBStuttgartVfB Stuttgart,,34,14,7,13,59:62,-3,35
,8,,SGEFrankfurtEintracht Frankfurt,,34,12,10,12,54:54,0,34
,9,,S04SchalkeFC Schalke 04,,34,11,12,11,43:54,-11,34
,10,,FCKK'lautern1. FC Kaiserslautern,,34,10,12,12,44:55,-11,32
,11,,SVWBremenSV Werder Bremen,,34,10,11,13,38:47,-9,31
,12,,RWEEssenRot-Weiss Essen,,34,8,15,11,41:54,-13,31
,13,,H96HannoverHannover 96,,34,11,8,15,49:61,-12,30
,14,,RWOOberhausenRot-Weiß Oberhausen,,34,11,7,16,50:62,-12,29
,15,,MSVDuisburgMSV Duisburg,,34,9,11,14,35:48,-13,29
,16,,EBSBraunschweigEintracht Braunschweig,,34,9,10,15,40:49,-9,28
,17,,M601860 MünchenTSV 1860 München,,34,9,7,18,41:56,-15,25
,18,,AACAachenAlemannia Aachen,,34,5,7,22,31:83,-52,17
