Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCBFC BayernFC Bayern München,,34,19,11,4,64:28,36,49
,2,,KOEKöln1. FC Köln,,34,17,9,8,54:44,10,43
,3,,SGEFrankfurtEintracht Frankfurt,,34,15,11,8,61:40,21,41
,4,,BVBDortmundBorussia Dortmund,,34,15,11,8,51:35,16,41
,5,,B04LeverkusenBayer 04 Leverkusen,,34,12,15,7,40:32,8,39
,6,,VFBStuttgartVfB Stuttgart,,34,15,6,13,53:47,6,36
,7,,SVWBremenSV Werder Bremen,,34,10,14,10,49:41,8,34
,8,,FCNNürnberg1. FC Nürnberg,,34,11,11,12,42:46,-4,33
,9,,F95DüsseldorfFortuna Düsseldorf,,34,10,12,12,41:41,0,32
,10,,KSCKarlsruheKarlsruher SC,,34,10,12,12,32:39,-7,32
,11,,HSVHamburgHamburger SV,,34,13,5,16,39:46,-7,31
,12,,FCKK'lautern1. FC Kaiserslautern,,34,10,11,13,42:55,-13,31
,13,,STPSt. PauliFC St. Pauli,,34,9,13,12,31:46,-15,31
,14,,KREUerdingenBayer 05 Uerdingen,,34,10,10,14,41:48,-7,30
,15,,BMGM'gladbachBorussia M'gladbach,,34,11,8,15,37:45,-8,30
,16,,BOCBochumVfL Bochum 1848,,34,11,7,16,44:53,-9,29
,17,,WMAMannheimSV Waldhof Mannheim,,34,10,6,18,36:53,-17,26
,18,,HOMHomburgFC Homburg,,34,8,8,18,33:51,-18,24
