Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,HSVHamburgHamburger SV,,34,21,7,6,78:32,46,49
,2,,VFBStuttgartVfB Stuttgart,,34,20,8,6,73:34,39,48
,3,,FCKK'lautern1. FC Kaiserslautern,,34,16,11,7,62:47,15,43
,4,,FCBFC BayernFC Bayern München,,34,16,8,10,69:46,23,40
,5,,SGEFrankfurtEintracht Frankfurt,,34,16,7,11,50:49,1,39
,6,,KOEKöln1. FC Köln,,34,13,12,9,55:47,8,38
,7,,F95DüsseldorfFortuna Düsseldorf,,34,13,11,10,70:59,11,37
,8,,BOCBochumVfL Bochum 1848,,34,10,13,11,47:46,1,33
,9,,EBSBraunschweigEintracht Braunschweig,,34,10,13,11,50:55,-5,33
,10,,BMGM'gladbachBorussia M'gladbach,,34,12,8,14,50:53,-3,32
,11,,SVWBremenSV Werder Bremen,,34,10,11,13,48:60,-12,31
,12,,BVBDortmundBorussia Dortmund,,34,10,11,13,54:70,-16,31
,13,,MSVDuisburgMSV Duisburg,,34,12,6,16,43:56,-13,30
,14,,BSCHertha BSCHertha BSC,,34,9,11,14,40:50,-10,29
,15,,S04SchalkeFC Schalke 04,,34,9,10,15,55:61,-6,28
,16,,DSCBielefeldDSC Arminia Bielefeld,,34,9,8,17,43:56,-13,26
,17,,FCNNürnberg1. FC Nürnberg,,34,8,8,18,36:67,-31,24
,18,,SVDDarmstadtSV Darmstadt 98,,34,7,7,20,40:75,-35,21
