Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCBFC BayernFC Bayern München,,34,19,12,3,67:26,41,50
,2,,KOEKöln1. FC Köln,,34,18,9,7,58:30,28,45
,3,,SVWBremenSV Werder Bremen,,34,18,8,8,55:32,23,44
,4,,HSVHamburgHamburger SV,,34,17,9,8,60:36,24,43
,5,,VFBStuttgartVfB Stuttgart,,34,16,7,11,58:49,9,39
,6,,BMGM'gladbachBorussia M'gladbach,,34,12,14,8,44:43,1,38
,7,,BVBDortmundBorussia Dortmund,,34,12,13,9,56:40,16,37
,8,,B04LeverkusenBayer 04 Leverkusen,,34,10,14,10,45:44,1,34
,9,,FCKK'lautern1. FC Kaiserslautern,,34,10,13,11,47:44,3,33
,10,,STPSt. PauliFC St. Pauli,,34,9,14,11,41:42,-1,32
,11,,KSCKarlsruheKarlsruher SC,,34,12,8,14,48:51,-3,32
,12,,WMAMannheimSV Waldhof Mannheim,,34,10,11,13,43:52,-9,31
,13,,KREUerdingenBayer 05 Uerdingen,,34,10,11,13,50:60,-10,31
,14,,FCNNürnberg1. FC Nürnberg,,34,8,10,16,36:54,-18,26
,15,,BOCBochumVfL Bochum 1848,,34,9,8,17,37:57,-20,26
,16,,SGEFrankfurtEintracht Frankfurt,,34,8,10,16,30:53,-23,26
,17,,STKStgt. KickersSV Stuttgarter Kickers,,34,10,6,18,41:68,-27,26
,18,,H96HannoverHannover 96,,34,4,11,19,36:71,-35,19
