Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCKK'lautern1. FC Kaiserslautern,,34,19,11,4,63:39,24,68
,2,,FCBFC BayernFC Bayern München,,34,19,9,6,69:37,32,66
,3,,B04LeverkusenBayer 04 Leverkusen,,34,14,13,7,66:39,27,55
,4,,VFBStuttgartVfB Stuttgart,,34,14,10,10,55:49,6,52
,5,,S04SchalkeFC Schalke 04,,34,13,13,8,38:32,6,52
,6,,FCHRostockFC Hansa Rostock,,34,14,9,11,54:46,8,51
,7,,SVWBremenSV Werder Bremen,,34,14,8,12,43:47,-4,50
,8,,MSVDuisburgMSV Duisburg,,34,11,11,12,43:44,-1,44
,9,,HSVHamburgHamburger SV,,34,11,11,12,38:46,-8,44
,10,,BVBDortmundBorussia Dortmund,,34,11,10,13,57:55,2,43
,11,,BSCHertha BSCHertha BSC,,34,12,7,15,41:53,-12,43
,12,,BOCBochumVfL Bochum 1848,,34,11,8,15,41:49,-8,41
,13,,M601860 MünchenTSV 1860 München,,34,11,8,15,43:54,-11,41
,14,,WOBWolfsburgVfL Wolfsburg,,34,11,6,17,38:54,-16,39
,15,,BMGM'gladbachBorussia M'gladbach,,34,9,11,14,54:59,-5,38
,16,,KSCKarlsruheKarlsruher SC,,34,9,11,14,48:60,-12,38
,17,,KOEKöln1. FC Köln,,34,10,6,18,49:64,-15,36
,18,,DSCBielefeldDSC Arminia Bielefeld,,34,8,8,18,43:56,-13,32
