Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,KOEKöln1. FC Köln,,30,17,11,2,78:40,38,45
,2,,MSVDuisburgMeidericher SV,,30,13,13,4,60:36,24,39
,3,,SGEFrankfurtEintracht Frankfurt,,30,16,7,7,65:41,24,39
,4,,BVBDortmundBorussia Dortmund,,30,14,5,11,73:57,16,33
,5,,VFBStuttgartVfB Stuttgart,,30,13,7,10,48:40,8,33
,6,,HSVHamburgHamburger SV,,30,11,10,9,69:60,9,32
,7,,M601860 MünchenTSV 1860 München,,30,11,9,10,66:50,16,31
,8,,S04SchalkeFC Schalke 04,,30,12,5,13,51:53,-2,29
,9,,FCNNürnberg1. FC Nürnberg,,30,11,7,12,45:56,-11,29
,10,,SVWBremenSV Werder Bremen,,30,10,8,12,53:62,-9,28
,11,,EBSBraunschweigEintracht Braunschweig,,30,11,6,13,36:49,-13,28
,12,,FCKK'lautern1. FC Kaiserslautern,,30,10,6,14,48:69,-21,26
,13,,KSCKarlsruheKarlsruher SC,,30,8,8,14,42:55,-13,24
,14,,BSCHertha BSCHertha BSC,,30,9,6,15,45:65,-20,24
,15,,P06MünsterSC Preußen Münster,,30,7,9,14,34:52,-18,23
,16,,FCSSaarbrücken1. FC Saarbrücken,,30,6,5,19,44:72,-28,17
