Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCBFC BayernFC Bayern München,,34,27,3,4,92:28,64,84
,2,,S04SchalkeFC Schalke 04,,34,18,9,7,53:37,16,63
,3,,TSGHoffenheimTSG Hoffenheim,,34,15,10,9,66:48,18,55
,4,,BVBDortmundBorussia Dortmund,,34,15,10,9,64:47,17,55
,5,,B04LeverkusenBayer 04 Leverkusen,,34,15,10,9,58:44,14,55
,6,,RBLLeipzigRB Leipzig,,34,15,8,11,57:53,4,53
,7,,VFBStuttgartVfB Stuttgart,,34,15,6,13,36:36,0,51
,8,,SGEFrankfurtEintracht Frankfurt,,34,14,7,13,45:45,0,49
,9,,BMGM'gladbachBorussia M'gladbach,,34,13,8,13,47:52,-5,47
,10,,BSCHertha BSCHertha BSC,,34,10,13,11,43:46,-3,43
,11,,SVWBremenSV Werder Bremen,,34,10,12,12,37:40,-3,42
,12,,FCAAugsburgFC Augsburg,,34,10,11,13,43:46,-3,41
,13,,H96HannoverHannover 96,,34,10,9,15,44:54,-10,39
,14,,M05Mainz1. FSV Mainz 05,,34,9,9,16,38:52,-14,36
,15,,SCFFreiburgSC Freiburg,,34,8,12,14,32:56,-24,36
,16,,WOBWolfsburgVfL Wolfsburg,,34,6,15,13,36:48,-12,33
,17,,HSVHamburgHamburger SV,,34,8,7,19,29:53,-24,31
,18,,KOEKöln1. FC Köln,,34,5,7,22,35:70,-35,22
