Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCBBayernFC Bayern München,,34,21,8,5,92:38,54,71
,2,,BVBDortmundBorussia Dortmund,,34,22,5,7,83:44,39,71
,3,,RBLLeipzigRB Leipzig,,34,20,6,8,64:41,23,66
,4,,FCUUnion Berlin1. FC Union Berlin,,34,18,8,8,51:38,13,62
,5,,SCFFreiburgSport-Club Freiburg,,34,17,8,9,51:44,7,59
,6,,B04LeverkusenBayer 04 Leverkusen,,34,14,8,12,57:49,8,50
,7,,SGEFrankfurtEintracht Frankfurt,,34,13,11,10,58:52,6,50
,8,,WOBWolfsburgVfL Wolfsburg,,34,13,10,11,57:48,9,49
,9,,M05Mainz1. FSV Mainz 05,,34,12,10,12,54:55,-1,46
,10,,BMGM'gladbachBorussia Mönchengladbach,,34,11,10,13,52:55,-3,43
,11,,KOEKöln1. FC Köln,,34,10,12,12,49:54,-5,42
,12,,TSGHoffenheimTSG Hoffenheim,,34,10,6,18,48:57,-9,36
,13,,SVWBremenSV Werder Bremen,,34,10,6,18,51:64,-13,36
,14,,BOCBochumVfL Bochum 1848,,34,10,5,19,40:72,-32,35
,15,,FCAAugsburgFC Augsburg,,34,9,7,18,42:63,-21,34
,16,,VFBStuttgartVfB Stuttgart,,34,7,12,15,45:57,-12,33
,17,,S04SchalkeFC Schalke 04,,34,7,10,17,35:71,-36,31
,18,,BSCBerlinHertha BSC,,34,7,8,19,42:69,-27,29
