Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,HSVHamburgHamburger SV,,34,20,12,2,79:33,46,52
,2,,SVWBremenSV Werder Bremen,,34,23,6,5,76:38,38,52
,3,,VFBStuttgartVfB Stuttgart,,34,20,8,6,80:47,33,48
,4,,FCBFC BayernFC Bayern München,,34,17,10,7,74:33,41,44
,5,,KOEKöln1. FC Köln,,34,17,9,8,69:42,27,43
,6,,FCKK'lautern1. FC Kaiserslautern,,34,14,13,7,57:44,13,41
,7,,BVBDortmundBorussia Dortmund,,34,16,7,11,78:62,16,39
,8,,DSCBielefeldDSC Arminia Bielefeld,,34,12,7,15,46:71,-25,31
,9,,F95DüsseldorfFortuna Düsseldorf,,34,11,8,15,63:75,-12,30
,10,,SGEFrankfurtEintracht Frankfurt,,34,12,5,17,48:57,-9,29
,11,,B04LeverkusenBayer 04 Leverkusen,,34,10,9,15,43:66,-23,29
,12,,BMGM'gladbachBorussia M'gladbach,,34,12,4,18,64:63,1,28
,13,,BOCBochumVfL Bochum 1848,,34,8,12,14,43:49,-6,28
,14,,FCNNürnberg1. FC Nürnberg,,34,11,6,17,44:70,-26,28
,15,,EBSBraunschweigEintracht Braunschweig,,34,8,11,15,42:65,-23,27
,16,,S04SchalkeFC Schalke 04,,34,8,6,20,48:68,-20,22
,17,,KSCKarlsruheKarlsruher SC,,34,7,7,20,39:86,-47,21
,18,,BSCHertha BSCHertha BSC,,34,5,10,19,43:67,-24,20
